permit_number	permit_index	pod_index	pod	permit_holder_name	priority_date	date_issued	use_type	status	pod_status	aquifer	county	req_acft	req_acre	req_rate	app_acft	app_acre	app_rate	held_acft	held_acre	held_rate	abeyance_status	source
1114	868	1366	14905409DB	NORTHWOOD, CITY OF	1963-11-19	1964-02-24	Municipal	Perfected	Active	Elk Valley	Grand Forks	58.0	0.0	50.0	58.0	0.0	50.0	0.0	0.0	0.0		Ground Water
1212P	960	1553	15105512DD1	LARIMORE, CITY OF	1918-06-01	1964-09-25	Municipal	Perfected	Active	Elk Valley	Grand Forks	166.6	0.0	125.0	166.6	0.0	125.0	0.0	0.0	0.0		Ground Water
1212P	960	1554	15105512DD2	LARIMORE, CITY OF	1918-06-01	1964-09-25	Municipal	Perfected	Active	Elk Valley	Grand Forks	166.7	0.0	125.0	166.7	0.0	125.0	0.0	0.0	0.0		Ground Water
1212P	960	1555	15105407CC	LARIMORE, CITY OF	1918-06-01	1964-09-25	Municipal	Perfected	Active	Elk Valley	Grand Forks	166.7	0.0	250.0	166.7	0.0	250.0	0.0	0.0	0.0		Ground Water
1563	1305	2098	15105423AC	EAST CENTRAL REGIONAL WATER DISTRICT	1968-06-25	1968-07-17	Rural Water	Perfected	Cancelled	Elk Valley	Grand Forks	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		Ground Water
1563	1305	91989	15005403DD	EAST CENTRAL REGIONAL WATER DISTRICT	1968-06-25	1968-07-17	Rural Water	Perfected	Active	Elk Valley	Grand Forks	112.0	0.0	215.0	112.0	0.0	215.0	0.0	0.0	0.0		Ground Water
1563	1305	91990	15005410AA	EAST CENTRAL REGIONAL WATER DISTRICT	1968-06-25	1968-07-17	Rural Water	Perfected	Active	Elk Valley	Grand Forks	112.0	0.0	215.0	112.0	0.0	215.0	0.0	0.0	0.0		Ground Water
1563	1305	91991	15005411BB	EAST CENTRAL REGIONAL WATER DISTRICT	1968-06-25	1968-07-17	Rural Water	Perfected	Active	Elk Valley	Grand Forks	112.0	0.0	215.0	112.0	0.0	215.0	0.0	0.0	0.0		Ground Water
1563	1305	2097	15105423DC	EAST CENTRAL REGIONAL WATER DISTRICT	1968-06-25	1968-07-17	Rural Water	Perfected	Active	Elk Valley	Grand Forks	112.0	0.0	860.0	112.0	0.0	215.0	0.0	0.0	0.0		Ground Water
1563	1305	2099	15105423ADD	EAST CENTRAL REGIONAL WATER DISTRICT	1968-06-25	1968-07-17	Rural Water	Perfected	Cancelled	Elk Valley	Grand Forks	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		Ground Water
1563	1305	2100	15105423DA	EAST CENTRAL REGIONAL WATER DISTRICT	1968-06-25	1968-07-17	Rural Water	Perfected	Cancelled	Elk Valley	Grand Forks	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		Ground Water
1563	1305	2101	15105423ADB	EAST CENTRAL REGIONAL WATER DISTRICT	1968-06-25	1968-07-17	Rural Water	Perfected	Cancelled	Elk Valley	Grand Forks	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		Ground Water
