Permits,Pods,Well,use_type,x_2265,y_2265,x_2266,y_2266,total_dept,top_screen,bottom_scr,use_acft,days,cfd,well_flag,status
[4925],[15005402B],15005402BB,Rural Water,2696424.592342208,322403.0422790274,2696539.000000001,808376.0000000033,44.0,32.0,44.0,125.0,365.0,14917.808219178081,existing well (reported use),Deferred
[4925],[15005403DA],15005403DA,Rural Water,2695060.9850800075,319526.4213341905,2695172.9999999986,805499.999999999,72.0,62.0,72.0,31.25,365.0,3729.4520547945203,existing well (reported use),Deferred
[4925],[15005403DA],15005403DAAB,Rural Water,2695122.9372523814,319577.4611786492,2695235.0,805551.0000000091,77.0,38.0,68.0,31.25,365.0,3729.4520547945203,existing well (reported use),Deferred
[4925],[15005403DA],15005403DADC,Rural Water,2695158.645242633,318641.6229402882,2695270.000000001,804615.0000000068,72.0,47.0,67.0,31.25,365.0,3729.4520547945203,existing well (reported use),Deferred
[4925],[15005403DA],15005403DADC2,Rural Water,2695172.6432287972,318641.63360555476,2695283.999999999,804615.0000000044,67.0,47.0,67.0,31.25,365.0,3729.4520547945203,existing well (reported use),Deferred
[4925],[15005403DD],15005403DDDC,Rural Water,2695363.7215360464,317190.9859746466,2695474.0,803164.0000000009,68.0,47.0,67.0,62.5,365.0,7458.904109589041,existing well (reported use),Deferred
[4925],[15005403DD],15005403DDDD,Rural Water,2695752.462625169,317458.24442204094,2695862.9999999986,803431.000000002,64.0,44.0,648.0,62.5,365.0,7458.904109589041,existing well (reported use),Deferred
[4925],[15005410AA],15005410AA,Rural Water,2695763.8986587855,316884.33447787014,2695874.0,802856.9999999936,55.0,40.0,55.0,125.0,365.0,14917.808219178081,existing well (reported use),Deferred
[4925],[15005411BB],15005411BBBB,Rural Water,2696154.728731002,317034.611334693,2696265.0,803006.9999999987,0.0,35.0,65.0,125.0,365.0,14917.808219178081,existing well (reported use),Deferred
[5524],[15005422D],15005422DBA1,Industrial,2694775.159555781,303589.3691574415,2694875.000000001,789560.9999999963,70.0,55.0,67.0,4.266666666666667,365.0,509.1945205479452,existing well with new flow,Conditionally Approved
[5524],[15005422D],15005422DBA2,Industrial,2694775.159555781,303589.3691574415,2694875.000000001,789560.9999999963,67.0,52.0,64.0,4.266666666666667,365.0,509.1945205479452,existing well with new flow,Conditionally Approved
[5524],[15005422D],15005422DBA3,Industrial,2694775.159555781,303589.3691574415,2694875.000000001,789560.9999999963,66.0,55.0,65.0,4.266666666666667,365.0,509.1945205479452,existing well with new flow,Conditionally Approved
[4925],[15105423C],15105423CBAA,Rural Water,2696163.510808346,335657.800010904,2696288.0000000005,821632.9999999942,86.0,68.0,83.0,62.5,365.0,7458.904109589041,existing well (reported use),Deferred
[4925],[15105423C],15105423CDDB,Rural Water,2697273.7928211046,333747.9542920495,2697397.0000000005,819722.0000000016,0.0,0.0,0.0,62.5,365.0,7458.904109589041,existing well (reported use),Deferred
"[4925, 4942]",[15105428C],15105428CCDC,Rural Water,2685784.36137585,327452.2191447114,2685901.000000001,813434.0000000076,45.0,30.0,33.0,75.0,365.0,8950.684931506848,existing well (reported use),Deferred
"[4925, 4942]",[15105428C],15105428CDAB,Rural Water,2686933.246770075,328697.89321378985,2687050.9999999995,814679.0000000008,0.0,0.0,0.0,75.0,365.0,8950.684931506848,existing well (reported use),Deferred
"[4925, 4942]",[15105428C],15105428CDDC,Rural Water,2687064.1273163054,327503.17530455027,2687181.000000001,813483.9999999992,57.0,42.0,57.0,75.0,365.0,8950.684931506848,existing well (reported use),Deferred
"[4925, 4942]",[15105433A],15105433ABBB,Rural Water,2687507.3036790267,327179.55893741077,2687623.999999999,813159.9999999955,56.0,41.0,56.0,91.66666666666666,365.0,10939.726027397259,existing well (reported use),Deferred
"[4925, 4942]",[15105433A],15105433ABBB2,Rural Water,2687673.1779454933,327312.6637658487,2687790.0000000005,813293.0000000135,0.0,0.0,0.0,91.66666666666666,365.0,10939.726027397259,existing well (reported use),Deferred
"[4925, 4942]",[15105433A],15105433ACCC,Rural Water,2687886.6936536953,325261.1358922771,2688001.999999999,811240.999999999,71.0,51.0,71.0,91.66666666666666,365.0,10939.726027397259,existing well (reported use),Deferred
"[4925, 4942]",[15105433D],15105433DBBD,Rural Water,2688036.3215926057,324399.3781397607,2688150.999999998,810379.0000000075,57.0,42.0,57.0,275.0,365.0,32819.17808219178,existing well (reported use),Deferred
"[4925, 4943]",[15105435D],15105435DBBB,Rural Water,2698234.195856413,325186.0121896029,2698351.0000000014,811157.9999999983,63.0,48.0,63.0,91.66666666666666,365.0,10939.726027397259,existing well (reported use),Deferred
"[4925, 4943]",[15105435D],15105435DCBB,Rural Water,2698329.1713013984,323893.2779488957,2698444.9999999986,809865.0000000015,87.0,51.0,81.0,91.66666666666666,365.0,10939.726027397259,existing well (reported use),Deferred
"[4925, 4943]",[15105435D],15105435DDDC,Rural Water,2700405.76415624,322719.0436880049,2700520.999999999,808688.9999999985,72.0,37.0,67.0,91.66666666666666,365.0,10939.726027397259,existing well (reported use),Deferred
[6932],[15205527D],15205527DBA,Irrigation,2660966.9004720957,360824.1457920406,2661103.999999999,846829.9999999952,42.0,0.0,0.0,14.0,365.0,1670.7945205479452,existing well (reported use),Deferred
[6932],[15205527D],15205527DBA2,Irrigation,2660596.977823745,360813.8785554275,2660733.999999998,846820.0000000006,0.0,0.0,0.0,14.0,365.0,1670.7945205479452,existing well (reported use),Deferred
[4886],[15305522BN],15305522BBDC,Irrigation,2651692.859129636,399489.3372702763,2651855.9999999995,885510.0000000006,55.0,39.0,54.0,9.9,365.0,1181.490410958904,existing well with new flow,Deferred
[4886],[15305522BN],15305522BBDD,Irrigation,2652020.774931891,399501.57048722234,2652183.9999999986,885522.0000000043,55.0,39.0,54.0,9.9,365.0,1181.490410958904,existing well with new flow,Deferred
[4409],[15405528C],15405528CCCA,Irrigation,2645472.007865607,422309.35474232025,2645650.0,908340.0000000058,54.0,34.0,54.0,40.2,365.0,4797.567123287672,existing well (reported use),Deferred
[5743],[15405529C],15405529CCBCB,Rural Water,2639477.5359896254,422304.0952599264,2639653.9999999995,908338.999999992,40.0,20.0,40.0,27.0,365.0,3222.246575342466,existing well (reported use),Deferred
[5743],[15405529C],15405529CCCBB,Rural Water,2639499.761666903,421977.1940985433,2639675.999999998,908012.0000000023,36.0,22.0,35.0,27.0,365.0,3222.246575342466,existing well (reported use),Deferred
[5743],[15405529C],15405529CCCBC,Rural Water,2639507.8742118413,421815.24097224633,2639684.0,907849.9999999936,29.0,16.0,28.0,27.0,365.0,3222.246575342466,existing well (reported use),Deferred
[5743],[15405529C],15405529CCCBC2,Rural Water,2639548.0217721076,421592.3259538469,2639724.0,907627.0000000055,47.0,27.0,47.0,27.0,365.0,3222.246575342466,existing well (reported use),Deferred
[6866],[15005306C],DUMMY_15005306C,Irrigation,2707684.703468343,318957.1473206265,2707798.094364684,804920.9422378375,,,,58.400000000000006,365.0,6969.600000000001,dummy well,Deferred
[6866],[15005306D],DUMMY_15005306D,Irrigation,2710349.3056703364,318449.3479303326,2710462.682681573,804411.001186278,,,,58.400000000000006,365.0,6969.600000000001,dummy well,Deferred
