Permits,Pods,Year,Month,Well,x_2265,y_2265,x_2266,y_2266,total_dept,top_screen,bottom_scr,use_acft,days,cfd
[3277],"[14905409A, 14905409D]",1984,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,19.700284941822364,366,2344.656863567711
[3277],"[14905409A, 14905409D]",1985,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,19.449352177000886,365,2321.1336461100236
[3277],"[14905409A, 14905409D]",1986,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,18.330844883298024,365,2187.648227716334
[3277],"[14905409A, 14905409D]",1987,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,19.642666658368405,365,2344.2042729822674
[3277],"[14905409A, 14905409D]",1988,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,20.201083113862914,366,2404.2600558466356
[3277],"[14905409A, 14905409D]",1989,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,20.706597545717685,365,2471.1764084697597
[3277],"[14905409A, 14905409D]",1990,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,15.598213012593542,365,1861.5292022700676
[3277],"[14905409A, 14905409D]",1991,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,14.537238687389642,365,1734.9099101991585
[3277],"[14905409A, 14905409D]",1992,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,14.669077912805472,366,1745.8607483109463
[3277],"[14905409A, 14905409D]",1993,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,13.603561640357267,365,1623.4825891889386
[3277],"[14905409A, 14905409D]",1994,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,10.314332548162616,365,1230.9378788985302
[3277],"[14905409A, 14905409D]",1995,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,17.388360141271622,365,2075.169774667923
[3277],"[14905409A, 14905409D]",1996,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,11.300024097792127,366,1344.8881139339483
[3277],"[14905409A, 14905409D]",1997,,14905409ACDC,2690023.4720726493,282803.1939861522,2690107.000000001,768776.0000000013,0.0,0.0,0.0,8.023365151484422,365,957.5281808182505
