PRISM Time Series Data
Location:  Lat: 47.9507   Lon: -97.5454   Elev: 1014ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1965-01 - 2024-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Oct-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1965-01,0.19
1965-02,0.09
1965-03,0.43
1965-04,2.99
1965-05,3.67
1965-06,3.15
1965-07,3.82
1965-08,1.78
1965-09,5.49
1965-10,1.12
1965-11,0.86
1965-12,0.56
1966-01,0.33
1966-02,0.49
1966-03,2.81
1966-04,1.66
1966-05,1.36
1966-06,3.82
1966-07,4.71
1966-08,2.82
1966-09,0.69
1966-10,0.94
1966-11,0.27
1966-12,0.77
1967-01,1.48
1967-02,0.31
1967-03,0.40
1967-04,3.09
1967-05,1.01
1967-06,2.24
1967-07,1.05
1967-08,0.49
1967-09,1.35
1967-10,1.44
1967-11,0.18
1967-12,1.10
1968-01,0.65
1968-02,0.16
1968-03,1.02
1968-04,2.26
1968-05,2.01
1968-06,4.36
1968-07,4.53
1968-08,3.49
1968-09,2.29
1968-10,0.63
1968-11,0.36
1968-12,0.65
1969-01,1.68
1969-02,0.78
1969-03,0.17
1969-04,0.53
1969-05,1.74
1969-06,4.05
1969-07,2.05
1969-08,1.12
1969-09,2.80
1969-10,1.66
1969-11,0.12
1969-12,0.70
1970-01,0.44
1970-02,0.22
1970-03,1.29
1970-04,2.25
1970-05,3.67
1970-06,2.93
1970-07,3.20
1970-08,1.48
1970-09,2.06
1970-10,1.11
1970-11,0.88
1970-12,0.65
1971-01,0.67
1971-02,0.11
1971-03,1.01
1971-04,1.03
1971-05,1.62
1971-06,4.41
1971-07,3.90
1971-08,1.93
1971-09,2.09
1971-10,3.91
1971-11,0.24
1971-12,0.08
1972-01,0.48
1972-02,0.63
1972-03,0.92
1972-04,1.20
1972-05,2.20
1972-06,1.16
1972-07,1.91
1972-08,2.65
1972-09,2.72
1972-10,1.00
1972-11,0.10
1972-12,0.55
1973-01,0.03
1973-02,0.08
1973-03,1.09
1973-04,0.37
1973-05,2.04
1973-06,2.09
1973-07,1.89
1973-08,2.72
1973-09,4.85
1973-10,2.21
1973-11,0.89
1973-12,0.59
1974-01,0.55
1974-02,0.40
1974-03,0.48
1974-04,2.77
1974-05,3.98
1974-06,1.40
1974-07,2.35
1974-08,4.75
1974-09,0.48
1974-10,0.91
1974-11,0.87
1974-12,0.44
1975-01,0.61
1975-02,0.22
1975-03,1.24
1975-04,2.56
1975-05,1.62
1975-06,5.20
1975-07,1.89
1975-08,1.71
1975-09,1.44
1975-10,1.69
1975-11,0.68
1975-12,0.27
1976-01,0.86
1976-02,0.52
1976-03,1.18
1976-04,1.52
1976-05,0.56
1976-06,3.49
1976-07,1.27
1976-08,2.27
1976-09,0.59
1976-10,0.14
1976-11,0.02
1976-12,0.44
1977-01,0.62
1977-02,0.83
1977-03,1.39
1977-04,0.26
1977-05,4.54
1977-06,2.40
1977-07,3.98
1977-08,2.57
1977-09,4.04
1977-10,1.34
1977-11,2.39
1977-12,0.97
1978-01,0.11
1978-02,0.18
1978-03,0.16
1978-04,0.94
1978-05,2.13
1978-06,2.00
1978-07,3.04
1978-08,3.32
1978-09,3.01
1978-10,0.28
1978-11,0.81
1978-12,0.71
1979-01,0.55
1979-02,1.08
1979-03,1.39
1979-04,3.09
1979-05,2.18
1979-06,2.84
1979-07,3.79
1979-08,1.29
1979-09,0.64
1979-10,0.71
1979-11,0.54
1979-12,0.05
1980-01,0.88
1980-02,0.42
1980-03,0.52
1980-04,0.00
1980-05,0.83
1980-06,1.80
1980-07,2.03
1980-08,5.10
1980-09,2.47
1980-10,1.70
1980-11,0.84
1980-12,0.12
1981-01,0.02
1981-02,0.86
1981-03,0.62
1981-04,1.10
1981-05,1.65
1981-06,4.90
1981-07,2.20
1981-08,1.87
1981-09,4.26
1981-10,3.07
1981-11,0.33
1981-12,0.29
1982-01,0.94
1982-02,0.27
1982-03,1.23
1982-04,0.25
1982-05,3.04
1982-06,3.41
1982-07,3.01
1982-08,0.82
1982-09,1.44
1982-10,4.85
1982-11,0.76
1982-12,0.44
1983-01,0.66
1983-02,0.33
1983-03,1.56
1983-04,0.10
1983-05,1.52
1983-06,3.42
1983-07,2.39
1983-08,5.65
1983-09,2.81
1983-10,1.83
1983-11,0.79
1983-12,0.31
1984-01,0.48
1984-02,0.57
1984-03,0.64
1984-04,1.80
1984-05,0.67
1984-06,4.15
1984-07,1.52
1984-08,1.01
1984-09,0.28
1984-10,3.80
1984-11,0.33
1984-12,0.60
1985-01,0.23
1985-02,0.33
1985-03,1.02
1985-04,0.80
1985-05,4.12
1985-06,1.79
1985-07,0.80
1985-08,6.25
1985-09,1.01
1985-10,1.71
1985-11,1.72
1985-12,0.30
1986-01,0.53
1986-02,0.43
1986-03,0.04
1986-04,3.07
1986-05,1.80
1986-06,1.41
1986-07,5.20
1986-08,2.52
1986-09,3.16
1986-10,0.37
1986-11,1.66
1986-12,0.18
1987-01,0.50
1987-02,0.99
1987-03,1.17
1987-04,0.24
1987-05,3.66
1987-06,2.52
1987-07,6.36
1987-08,2.91
1987-09,0.98
1987-10,0.22
1987-11,0.16
1987-12,0.69
1988-01,0.52
1988-02,0.12
1988-03,0.72
1988-04,0.02
1988-05,1.82
1988-06,1.23
1988-07,3.27
1988-08,1.35
1988-09,1.95
1988-10,0.32
1988-11,0.60
1988-12,0.76
1989-01,0.77
1989-02,0.08
1989-03,1.61
1989-04,0.13
1989-05,2.39
1989-06,2.71
1989-07,0.60
1989-08,3.30
1989-09,1.27
1989-10,0.12
1989-11,0.46
1989-12,0.11
1990-01,0.20
1990-02,0.24
1990-03,1.67
1990-04,0.98
1990-05,1.05
1990-06,4.87
1990-07,1.06
1990-08,3.22
1990-09,1.25
1990-10,0.35
1990-11,0.02
1990-12,0.30
1991-01,0.17
1991-02,0.60
1991-03,0.33
1991-04,3.12
1991-05,3.73
1991-06,4.00
1991-07,3.93
1991-08,2.57
1991-09,4.33
1991-10,2.33
1991-11,0.35
1991-12,0.44
1992-01,0.43
1992-02,0.28
1992-03,0.58
1992-04,0.79
1992-05,2.16
1992-06,3.47
1992-07,2.46
1992-08,2.93
1992-09,1.42
1992-10,0.20
1992-11,0.95
1992-12,0.53
1993-01,0.40
1993-02,0.08
1993-03,0.39
1993-04,0.18
1993-05,2.00
1993-06,5.06
1993-07,7.59
1993-08,4.33
1993-09,0.46
1993-10,0.33
1993-11,1.41
1993-12,0.52
1994-01,0.72
1994-02,0.66
1994-03,0.35
1994-04,0.16
1994-05,1.78
1994-06,5.16
1994-07,3.70
1994-08,3.24
1994-09,2.87
1994-10,2.82
1994-11,1.82
1994-12,0.02
1995-01,0.19
1995-02,0.53
1995-03,2.07
1995-04,0.39
1995-05,2.29
1995-06,1.77
1995-07,5.16
1995-08,3.45
1995-09,2.01
1995-10,1.79
1995-11,1.46
1995-12,1.53
1996-01,0.93
1996-02,1.24
1996-03,0.69
1996-04,0.47
1996-05,2.49
1996-06,2.20
1996-07,4.62
1996-08,0.43
1996-09,2.50
1996-10,1.25
1996-11,1.59
1996-12,1.40
1997-01,0.91
1997-02,0.23
1997-03,0.95
1997-04,0.83
1997-05,1.51
1997-06,2.44
1997-07,5.07
1997-08,1.79
1997-09,1.80
1997-10,2.40
1997-11,0.49
1997-12,0.22
1998-01,0.61
1998-02,0.79
1998-03,0.20
1998-04,1.04
1998-05,2.19
1998-06,4.31
1998-07,3.01
1998-08,1.93
1998-09,0.36
1998-10,4.84
1998-11,1.85
1998-12,0.30
1999-01,1.24
1999-02,0.20
1999-03,1.13
1999-04,0.95
1999-05,5.43
1999-06,3.11
1999-07,1.88
1999-08,3.49
1999-09,2.41
1999-10,0.00
1999-11,0.00
1999-12,0.06
2000-01,0.12
2000-02,1.32
2000-03,0.45
2000-04,1.02
2000-05,0.77
2000-06,10.35
2000-07,2.14
2000-08,2.65
2000-09,1.48
2000-10,2.33
2000-11,2.65
2000-12,0.66
2001-01,0.00
2001-02,0.39
2001-03,0.11
2001-04,1.31
2001-05,3.15
