Site_Index,Location,group_number,group,index_well_flag,Aquifer,drop_flag,drop_note,Purpose,Count,First Date,Last Date,Top Screen,Bot Screen,lat,lon,x_2265,y_2265,x_2266,y_2266,wl_avg_1965,wl_avg_2023
4454,15005401AAA,1,1A,FALSE,Elk Valley,FALSE,,Observation Well,243,6/18/1991,11/25/2024,18,23,47.844765,-97.496306,2705885.671,322525.1033,2706001.564,808490.8085,,1087.94125
6024,15005403ADD,2,2A,FALSE,Elk Valley,FALSE,,Observation Well,294,9/9/1985,11/25/2024,38,43,47.83931,-97.539421,2695383.041,320126.8247,2695495.56,806100.2447,,1101.278571
4455,15005403ADD2,2,2B,FALSE,Elk Valley,FALSE,,Observation Well,245,7/8/1991,11/25/2024,17,27,47.83931,-97.539421,2695383.041,320126.8247,2695495.56,806100.2447,,1101.868571
6025,15005403CDD,3,3A,FALSE,Elk Valley,FALSE,,Observation Well,291,9/9/1985,11/25/2024,28,33,47.832022,-97.550211,2692837.013,317368.6752,2692947.069,803343.6368,,1108.088571
4447,15005403CDD2,3,3B,FALSE,Elk Valley,FALSE,,Observation Well,247,6/18/1991,11/25/2024,4,14,47.832022,-97.550211,2692837.013,317368.6752,2692947.069,803343.6368,,1108.367143
4422,15005404BBB,4,4A,FALSE,Elk Valley,FALSE,,Observation Well,238,6/28/1991,11/25/2024,45,50,47.844801,-97.579878,2685378.904,321748.9998,2685491.192,807730.2306,,1119.0225
6026,15005404CCD,5,5A,TRUE,Elk Valley,FALSE,,Observation Well - Plugged,227,9/1/1965,7/13/2005,38,41,47.832092,-97.577117,2686232.344,317142.2304,2686341.29,803122.1535,1118.344,
31821,15005404CCD2,5,5B,TRUE,Elk Valley,FALSE,,Observation Well,139,8/2/2005,11/25/2024,35,40,47.831207,-97.578278,2685959.639,316808.8238,2686068.295,802788.9047,,1117.735714
6027,15005404DAA,6,6A,FALSE,Elk Valley,FALSE,,Observation Well,292,9/9/1985,11/25/2024,45,50,47.837502,-97.560976,2690118.617,319265.058,2690229.721,805242.352,,1112.2075
28189,15005405ABB1,7,7A,FALSE,Carlisle Formation,TRUE,deeper than elk valley aquifer,Observation Well,174,11/20/2001,11/25/2024,305,315,47.844797,-97.590565,2682756.604,321648.2225,2682868.431,807631.4066,,1116.052857
28190,15005405ABB2,7,7B,FALSE,Till,TRUE,deeper than elk valley aquifer,Observation Well,191,11/20/2001,11/25/2024,270,275,47.844797,-97.590565,2682756.604,321648.2225,2682868.431,807631.4066,,1118.704286
28191,15005405ABB3,7,7C,FALSE,Clay Sediments,TRUE,deeper than elk valley aquifer,Observation Well,193,11/20/2001,11/25/2024,100,105,47.844797,-97.590565,2682756.604,321648.2225,2682868.431,807631.4066,,1118.692857
28192,15005405ABB4,7,7D,FALSE,Silt Sediments,TRUE,deeper than elk valley aquifer,Observation Well,174,11/20/2001,11/25/2024,50,55,47.844797,-97.590565,2682756.604,321648.2225,2682868.431,807631.4066,,1118.745714
28193,15005405ABB5,7,7E,FALSE,Elk Valley,FALSE,,Observation Well,176,11/20/2001,11/25/2024,30,35,47.844797,-97.590565,2682756.604,321648.2225,2682868.431,807631.4066,,1118.47
27065,15005405BBA2,8,8A,FALSE,Elk Valley,TRUE,<15,Observation Well - Plugged,3,11/15/2000,10/9/2001,6,14,47.844788,-97.598613,2680781.916,321570.3883,2680893.394,807555.0383,,
27066,15005405BBA3,8,8B,FALSE,Elk Valley,TRUE,<15,Observation Well - Plugged,3,11/15/2000,10/9/2001,43.33,48.4,47.844788,-97.598613,2680781.916,321570.3883,2680893.394,807555.0383,,
