i,j,grid_id,row,col,__key__,rvS,rvB,rvC,reach
75,19,13883,76,20,"(75, 19)",1132.591821,1131.55469,4202.481154,1
75,20,13884,76,21,"(75, 20)",1130.342181,1129.30505,2701.482861,1
76,18,14059,77,19,"(76, 18)",1134.769061,1133.73193,3678.385383,1
76,19,14060,77,20,"(76, 19)",1132.591821,1131.55469,15944.78384,1
76,20,14061,77,21,"(76, 20)",1129.748801,1128.71167,1465.669379,1
76,21,14062,77,22,"(76, 21)",1129.014791,1127.97766,4615.71756,1
76,22,14063,77,23,"(76, 22)",1131.069721,1130.03259,2844.110708,1
77,17,14235,78,18,"(77, 17)",1135.968161,1134.93103,814.8878351,1
77,18,14236,78,19,"(77, 18)",1135.039571,1134.00244,2357.979487,1
77,22,14240,78,23,"(77, 22)",1127.942281,1126.90515,7213.809308,1
78,17,14412,79,18,"(78, 17)",1137.827781,1136.79065,1321.778249,1
78,22,14417,79,23,"(78, 22)",1128.456081,1127.41895,2796.112759,1
78,23,14418,79,24,"(78, 23)",1125.975241,1124.93811,6012.753583,1
78,24,14419,79,25,"(78, 24)",1125.975241,1125.41494,124.9181382,1
79,14,14586,80,15,"(79, 14)",1144.999411,1143.96228,308.4585476,1
79,15,14587,80,16,"(79, 15)",1140.465351,1139.42822,2066.982922,1
79,16,14588,80,17,"(79, 16)",1139.220481,1138.18335,607.5010236,1
79,24,14596,80,25,"(79, 24)",1126.927271,1125.89014,521.3737644,1
79,25,14597,80,26,"(79, 25)",1126.360621,1125.32349,181.7401376,1
80,11,14760,81,12,"(80, 11)",1152.292501,1151.25537,276.0583101,1
80,12,14761,81,13,"(80, 12)",1149.421771,1148.38464,276.0474019,1
80,13,14762,81,14,"(80, 13)",1147.413721,1146.37659,249.9664286,1
80,14,14763,81,15,"(80, 14)",1144.999411,1143.96228,576.9116991,1
80,15,14764,81,16,"(80, 15)",1142.935811,1141.89868,327.4147622,1
80,25,14774,81,26,"(80, 25)",1126.360621,1125.32349,225.335068,1
80,26,14775,81,27,"(80, 26)",1125.628191,1124.59106,670.8264632,1
80,27,14776,81,28,"(80, 27)",1122.980371,1121.94324,587.2266351,1
81,11,14937,82,12,"(81, 11)",1151.632101,1150.59497,206.0408301,1
