use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
1984	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						2424260.0	2640400.0	2739000.0	2281220.0	1967650.0	2743080.0	3032550.0	2981540.0	2975920.0	2980040.0	2712730.0	2618440.0	32096830.0
1985	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						2509600.0	2538630.0	2441390.0	2311620.0	2589160.0	2693510.0	2823760.0	2999130.0	3144106.0	2653640.0	2530640.0	2452810.0	31687996.0
1986	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						1831590.0	1948950.0	2368070.0	2347660.0	2352770.0	2411620.0	2935770.0	2730670.0	2892000.0	2811970.0	2635540.0	2599050.0	29865660.0
1987	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						2416970.0	2458340.0	2638270.0	2204010.0	2731300.0	2716350.0	3052180.0	2926980.0	2772560.0	2672890.0	2910535.0	2502570.0	32002955.0
1988	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						2595777.0	2825755.0	2290414.0	2535895.0	2677819.0	3124262.0	3035333.0	3007725.0	2732101.0	2824991.0	2648640.0	2614047.0	32912759.0
1989	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						2638647.0	2704410.0	2517870.0	2451170.0	2447352.0	2769365.0	2730295.0	3329129.0	3180155.0	3395932.0	2929707.0	2642340.0	33736372.0
1990	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						726600.0	693900.0	770800.0	769000.0	935300.0	769000.0	926000.0	929500.0	759500.0	647900.0	701200.0	770700.0	9399400.0
1991	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						776400.0	649600.0	658800.0	746200.0	771000.0	799700.0	775600.0	942800.0	668300.0	678400.0	612900.0	680500.0	8760200.0
1992	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						696000.0	662700.0	784400.0	662600.0	721600.0	751000.0	860200.0	1062200.0	728400.0	769400.0	666500.0	700400.0	9065400.0
1993	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						677400.0	608600.0	830400.0	641400.0	867900.0	670900.0	635700.0	787600.0	684800.0	703200.0	678300.0	635900.0	8422100.0
1994	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						1155400.0	787400.0	1197900.0	1248600.0	1371800.0	1323200.0	1251900.0	1075500.0	1437700.0	985300.0	1180000.0	1185500.0	14200200.0
1995	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						1026674.0	1280226.0	663596.0	2453088.0	1485340.0	1431658.0	1478348.0	1481108.0	1065406.0	1602640.0	1232800.0	1265506.0	16466390.0
1996	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						1099305.0	1263825.0	1244565.0	1083690.0	1247175.0	1387305.0	1404945.0	1549530.0	1151145.0	1318050.0	1281285.0	1032435.0	15063255.0
1997	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						1109565.0	988965.0	1111770.0	1477035.0	1373355.0	1292445.0	1154700.0	1289655.0	897885.0	0.0	0.0	0.0	10695375.0
1999	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	17600.0	63450.0	67800.0	16800.0	7400.0	2600.0	0.0	0.0	175650.0
2000	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	15400.0	48300.0	54850.0	46900.0	53060.0	20000.0	3250.0	0.0	0.0	241760.0
2001	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	11350.0	48250.0	55050.0	50100.0	52350.0	37200.0	0.0	0.0	0.0	254300.0
2002	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						7000.0	3800.0	4000.0	5800.0	32000.0	64000.0	84000.0	23800.0	16000.0	10000.0	6400.0	5800.0	262600.0
2003	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	12400.0	14000.0	28600.0	56400.0	66400.0	42600.0	13000.0	5400.0	8800.0	7600.0	255200.0
2004	1114	NORTHWOOD, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4500.0	6950.0	3250.0	4450.0	12550.0	30250.0	53100.0	41050.0	17250.0	6900.0	5250.0	5700.0	191200.0
