date,gross_precipitation,rainfall,net_infiltration,runoff,actual_et,interception,soil_storage,snowfall,snow_storage,snowmelt
1/1/2000,0,0,0,0,0.007318375,0,2.507969448,0,0,0
1/2/2000,0,0,0,0,0.002743936,0,2.505234826,0,0,0
1/3/2000,0.036274553,0,0,0,0.002438765,0,2.502804435,0.036274553,0.036274553,0
1/4/2000,0.000854625,0,0,0,0,0,2.502804435,0.000854625,0.037129178,0
1/5/2000,0.02157311,0,0,0,0.000501663,0,2.502303993,0.02157311,0.058702288,0
1/6/2000,1.49E-07,0,0,0,0.006405093,0,2.495921565,1.49E-07,0.058702437,0
1/7/2000,0,0,0,0,0.000364363,0,2.495558174,0,0.058702437,0
1/8/2000,0,0,0,0,0.007828269,0,2.487759165,0,0.058702437,0
1/9/2000,0,0,0,0,0.010670535,0,2.477127488,0,0.058702437,0
1/10/2000,0.00724438,0,0,0,0.010132273,0,2.467032702,0.00724438,0.065946817,0
1/11/2000,0.061935709,0,0,0,0.003829124,0,2.463217458,0.061935709,0.127882526,0
1/12/2000,0,0,0,0,0,0,2.463217458,0,0.127882526,0
1/13/2000,0.000670858,0,0,0,0,0,2.463217458,0.000670858,0.128553384,0
1/14/2000,0,0,0,0,0,0,2.463217458,0,0.128553384,0
1/15/2000,0,0,0,0,0.003235361,0,2.459993425,0,0.128553384,0
1/16/2000,0,0,0,0,0,0,2.459993425,0,0.128553384,0
1/17/2000,0,0,0,0,9.16E-05,0,2.459901936,0,0.128553384,0
1/18/2000,0,0,0,0,0.008259266,0,2.451674427,0,0.128553384,0
1/19/2000,0,0,0,0,0.002805693,0,2.448879221,0,0.128553384,0
1/20/2000,0,0,0,0,0,0,2.448879221,0,0.128553384,0
1/21/2000,0,0,0,0,0,0,2.448879221,0,0.128553384,0
1/22/2000,0.001935956,0,0,0,0.000958409,0,2.447924392,0.001935956,0.13048934,0
1/23/2000,0,0,0,0,0.00243414,0,2.445499068,0,0.13048934,0
1/24/2000,0,0,0,0,0.002387019,0,2.443121413,0,0.13048934,0
1/25/2000,0,0,0,0,0.005620694,0,2.437521433,0,0.13048934,0
1/26/2000,0,0,0,0,0.002671829,0,2.434859809,0,0.13048934,0
1/27/2000,0,0,0,0,0.002753181,0,2.432117366,0,0.13048934,0
1/28/2000,0,0,0,0,0.005254437,0,2.42688293,0,0.13048934,0
1/29/2000,0,0,0,0,0.007466655,0,2.419445186,0,0.13048934,0
1/30/2000,0,0,0,0,0.006836741,0,2.412635029,0,0.13048934,0
