def_well_id,weight
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:121_idx2:33,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:118_idx2:30,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:116_idx2:22,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:124_idx2:28,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:84_idx2:23,0.875
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:86_idx2:16,0.875
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:88_idx2:21,0.875
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:106_idx2:26,0.75
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:109_idx2:20,0.75
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:110_idx2:24,0.75
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:122_idx2:37,0.75
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:115_idx2:51,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:114_idx2:51,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:127_idx2:48,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:130_idx2:49,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:134_idx2:50,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:137_idx2:51,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:146_idx2:53,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:142_idx2:43,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:143_idx2:47,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:146_idx2:46,0.625
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:128_idx2:49,0.5
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:111_idx2:41,0.375
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:115_idx2:39,0.375
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:118_idx2:34,0.375
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:143_idx2:35,0.25
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:137_idx2:16,0.125
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:131_idx2:26,0.111111111
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:133_idx2:24,0.111111111
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:15_idx2:18,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:16_idx2:21,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:20_idx2:20,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:26_idx2:27,0.941176471
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:40_idx2:30,0.882352941
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:37_idx2:23,0.823529412
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:45_idx2:20,0.764705882
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:15_idx2:16,0.705882353
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:20_idx2:21,0.705882353
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:18_idx2:17,0.705882353
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:38_idx2:34,0.647058824
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:50_idx2:23,0.588235294
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:42_idx2:13,0.588235294
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:39_idx2:14,0.588235294
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:22_idx2:18,0.529411765
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:65_idx2:18,0.470588235
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:81_idx2:25,0.411764706
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:35_idx2:15,0.352941176
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:37_idx2:14,0.352941176
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:72_idx2:29,0.294117647
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:74_idx2:31,0.294117647
