id,obsprefix,obstype,group,layer,row,col,k,i,j,idom,aquifer,well_depth,gwe_ft,sp,start_dt,end_dt,x_2265,y_2265,geometry
1,ssh_id:3448_k:0_i:79_j:16,ss_head,sshead_ww,1,80,17,0,79,16,1,ww,80.0,1461.8381896551725,1.0,12/31/1969,1/1/1970,2399467.983140538,323328.5181358643,POINT (2399467.983140538 323328.5181358643)
2,ssh_id:5386_k:0_i:108_j:43,ss_head,sshead_ww,1,109,44,0,108,43,1,ww,17.0,1465.155652173913,1.0,12/31/1969,1/1/1970,2417307.4820887716,303839.13416005106,POINT (2417307.4820887716 303839.13416005106)
3,ssh_id:3395_k:0_i:72_j:58,ss_head,sshead_ww,1,73,59,0,72,58,1,ww,80.0,1464.900785340314,1.0,12/31/1969,1/1/1970,2427224.418680529,328036.61806598643,POINT (2427224.418680529 328036.61806598643)
4,ssh_id:3438_k:0_i:76_j:42,ss_head,sshead_ww,1,77,43,0,76,42,1,ww,53.0,1463.9834782608698,1.0,12/31/1969,1/1/1970,2416796.0014585955,325029.24616392446,POINT (2416796.0014585955 325029.24616392446)
5,ssh_id:5390_k:0_i:109_j:27,ss_head,sshead_ww,1,110,28,0,109,27,1,ww,38.0,1454.3691666666666,1.0,12/31/1969,1/1/1970,2406807.4900666205,303608.18655913434,POINT (2406807.4900666205 303608.18655913434)
6,ssh_id:5382_k:0_i:100_j:35,ss_head,sshead_ww,1,101,36,0,100,35,1,ww,0.0,1464.68,1.0,12/31/1969,1/1/1970,2411982.251296781,309136.16009948,POINT (2411982.251296781 309136.16009948)
7,ssh_id:21410_k:0_i:109_j:58,ss_head,sshead_ww,1,110,59,0,109,58,1,ww,17.5,1460.1447826086958,1.0,12/31/1969,1/1/1970,2427484.576587135,303685.32203416293,POINT (2427484.576587135 303685.32203416293)
9,ssh_id:3414_k:0_i:76_j:82,ss_head,sshead_ww,1,77,83,0,76,82,1,ww,24.0,1466.081470588235,1.0,12/31/1969,1/1/1970,2442910.364665181,325396.3048451229,POINT (2442910.364665181 325396.3048451229)
10,ssh_id:3453_k:0_i:84_j:14,ss_head,sshead_ww,1,85,15,0,84,14,1,ww,47.0,1462.7362962962961,1.0,12/31/1969,1/1/1970,2398645.103357346,319630.4863841195,POINT (2398645.103357346 319630.4863841195)
11,ssh_id:3443_k:0_i:81_j:34,ss_head,sshead_ww,1,82,35,0,81,34,1,ww,16.0,1465.3458620689655,1.0,12/31/1969,1/1/1970,2411850.027311997,321931.9021120036,POINT (2411850.027311997 321931.9021120036)
