start_datetime,transh_grpid:2_k:2_i:99_j:113,transh_grpid:3_k:2_i:92_j:97,transh_grpid:5_k:2_i:100_j:98,transh_grpid:6_k:2_i:115_j:122,transh_grpid:7_k:2_i:108_j:114,transh_grpid:8_k:0_i:115_j:110,transh_grpid:9_k:2_i:108_j:98,transh_grpid:11_k:2_i:116_j:99,transh_grpid:12_k:0_i:124_j:114,transh_grpid:13_k:2_i:124_j:103,transh_grpid:14_k:2_i:93_j:96,transh_grpid:15_k:2_i:94_j:97,transh_grpid:16_k:2_i:99_j:93,transh_grpid:17_k:0_i:98_j:93,transh_grpid:17_k:1_i:98_j:93,transh_grpid:17_k:2_i:98_j:93,transh_grpid:18_k:0_i:98_j:97,transh_grpid:18_k:1_i:98_j:97,transh_grpid:19_k:2_i:98_j:96,transh_grpid:22_k:2_i:99_j:97,transh_grpid:26_k:2_i:100_j:74,transh_grpid:27_k:2_i:99_j:82,transh_grpid:28_k:0_i:92_j:68,transh_grpid:29_k:0_i:94_j:50,transh_grpid:32_k:2_i:108_j:75,transh_grpid:33_k:2_i:107_j:83,transh_grpid:34_k:2_i:101_j:97,transh_grpid:35_k:2_i:100_j:91,transh_grpid:36_k:2_i:104_j:93,transh_grpid:37_k:2_i:107_j:91,transh_grpid:38_k:2_i:112_j:84,transh_grpid:41_k:2_i:108_j:74,transh_grpid:42_k:0_i:111_j:74,transh_grpid:44_k:0_i:113_j:67,transh_grpid:45_k:0_i:109_j:58,transh_grpid:47_k:2_i:117_j:81,transh_grpid:48_k:2_i:116_j:83,transh_grpid:49_k:2_i:119_j:86,transh_grpid:51_k:2_i:120_j:91,transh_grpid:59_k:0_i:108_j:43,transh_grpid:60_k:0_i:109_j:27,transh_grpid:62_k:2_i:51_j:96,transh_grpid:63_k:2_i:60_j:97,transh_grpid:64_k:2_i:59_j:104,transh_grpid:65_k:2_i:67_j:104,transh_grpid:66_k:0_i:69_j:104,transh_grpid:67_k:0_i:70_j:102,transh_grpid:68_k:0_i:71_j:99,transh_grpid:69_k:0_i:75_j:97,transh_grpid:71_k:2_i:75_j:104,transh_grpid:72_k:2_i:76_j:97,transh_grpid:73_k:2_i:88_j:97,transh_grpid:74_k:2_i:92_j:101,transh_grpid:75_k:2_i:91_j:105,transh_grpid:76_k:2_i:83_j:107,transh_grpid:77_k:2_i:91_j:113,transh_grpid:78_k:2_i:46_j:96,transh_grpid:80_k:2_i:47_j:80,transh_grpid:81_k:2_i:50_j:80,transh_grpid:82_k:2_i:51_j:80,transh_grpid:83_k:0_i:52_j:80,transh_grpid:83_k:2_i:52_j:80,transh_grpid:84_k:2_i:51_j:63,transh_grpid:85_k:2_i:52_j:69,transh_grpid:86_k:2_i:55_j:73,transh_grpid:87_k:2_i:54_j:88,transh_grpid:88_k:2_i:60_j:93,transh_grpid:90_k:2_i:63_j:90,transh_grpid:93_k:2_i:64_j:89,transh_grpid:95_k:2_i:60_j:88,transh_grpid:96_k:0_i:61_j:81,transh_grpid:98_k:2_i:68_j:89,transh_grpid:99_k:2_i:60_j:80,transh_grpid:100_k:2_i:60_j:74,transh_grpid:101_k:0_i:67_j:74,transh_grpid:102_k:2_i:60_j:66,transh_grpid:103_k:2_i:62_j:67,transh_grpid:106_k:2_i:62_j:63,transh_grpid:107_k:2_i:60_j:58,transh_grpid:108_k:2_i:68_j:58,transh_grpid:109_k:0_i:68_j:54,transh_grpid:110_k:0_i:72_j:58,transh_grpid:111_k:0_i:74_j:57,transh_grpid:112_k:2_i:68_j:62,transh_grpid:113_k:2_i:70_j:63,transh_grpid:114_k:0_i:71_j:61,transh_grpid:115_k:0_i:74_j:61,transh_grpid:116_k:0_i:74_j:66,transh_grpid:116_k:2_i:74_j:66,transh_grpid:118_k:2_i:68_j:69,transh_grpid:119_k:2_i:68_j:74,transh_grpid:121_k:0_i:68_j:85,transh_grpid:121_k:2_i:68_j:85,transh_grpid:122_k:2_i:68_j:97,transh_grpid:123_k:0_i:75_j:89,transh_grpid:123_k:2_i:75_j:89,transh_grpid:124_k:0_i:76_j:95,transh_grpid:124_k:2_i:76_j:95,transh_grpid:126_k:0_i:80_j:97,transh_grpid:126_k:2_i:80_j:97,transh_grpid:127_k:0_i:76_j:82,transh_grpid:127_k:2_i:76_j:82,transh_grpid:129_k:2_i:77_j:78,transh_grpid:130_k:2_i:82_j:82,transh_grpid:132_k:0_i:90_j:59,transh_grpid:133_k:0_i:90_j:70,transh_grpid:134_k:0_i:90_j:69,transh_grpid:136_k:2_i:91_j:82,transh_grpid:137_k:2_i:84_j:97,transh_grpid:138_k:2_i:92_j:90,transh_grpid:140_k:0_i:61_j:41,transh_grpid:141_k:0_i:67_j:25,transh_grpid:159_k:0_i:74_j:13,transh_grpid:163_k:0_i:76_j:13,transh_grpid:165_k:0_i:76_j:14,transh_grpid:166_k:0_i:77_j:16,transh_grpid:167_k:0_i:76_j:17,transh_grpid:168_k:0_i:73_j:26,transh_grpid:169_k:0_i:76_j:48,transh_grpid:170_k:0_i:76_j:42,transh_grpid:171_k:0_i:78_j:42,transh_grpid:172_k:0_i:80_j:34,transh_grpid:173_k:0_i:81_j:34,transh_grpid:182_k:0_i:79_j:16,transh_grpid:187_k:0_i:77_j:14,transh_grpid:189_k:0_i:80_j:17,transh_grpid:193_k:0_i:84_j:14,transh_grpid:204_k:0_i:86_j:15,transh_grpid:208_k:0_i:92_j:35,transh_grpid:209_k:0_i:92_j:39,transh_grpid:210_k:0_i:92_j:43,transh_grpid:212_k:2_i:26_j:69,transh_grpid:213_k:2_i:28_j:79,transh_grpid:214_k:2_i:34_j:69,transh_grpid:215_k:1_i:43_j:69,transh_grpid:215_k:2_i:43_j:69,transh_grpid:216_k:2_i:43_j:69,transh_grpid:217_k:2_i:43_j:69,transh_grpid:218_k:2_i:38_j:80,transh_grpid:219_k:2_i:42_j:80,transh_grpid:220_k:0_i:7_j:53,transh_grpid:220_k:2_i:7_j:53,transh_grpid:221_k:2_i:13_j:63
1970-01-01,,1452.452131147541,,,,,,,,1371.4,,,,,,,,,,,,,,,,,,,,,,,,,1463.21,,,,,1467.28,1454.9385714285713,,,,,,,,,,1454.4519672131146,,,,,,,,,,,,,,,,,,,1449.6655421686748,1480.5014285714287,,1449.1863855421686,1447.52,,,,,,,,1465.47,,,,,,,,1465.25,1465.12,,,1452.1438554216868,,,,,,,1466.6638554216868,1452.3696385542169,,,1465.0,,,1453.44,,1452.7271084337349,1469.98,1468.67,,1459.79792574657,,,,,1464.9213303370786,1463.689523809524,,1464.79,1465.92,1459.45,1818.67,,1463.1714285714286,,1468.14,1463.6738095238095,1464.9899982914744,,,,,,,,,,,,
1971-01-01,,1452.703104455807,,,,,,1369.2679746835445,,1370.3103305785123,,,,,,,,,,,,,,,,,,,,,,,,,1462.61,,,,,1466.68,1454.99,,,,,,,,,,1454.193647977289,,,,,,,,,,,,,,,,,,,1449.807780821918,1479.39,,1449.357780821918,1446.9581530234473,,,,,,,,1465.45,,,,,,,,1464.9757142857143,1464.297780821918,,,1452.1971780821918,,,,,,,1466.76,1452.8140404040405,,,1463.7916059165345,,,1453.42,,1452.7461643835616,1470.98,1462.77,,1459.606440677966,,,,,1464.957420224719,1463.683861288736,,1463.559582673006,1465.430547660312,1459.47,1818.27,,1463.36,,1466.3164657534246,1463.661004613019,1465.0380164018452,,,,,,,,,,,,
1972-01-01,,1452.560073046019,,,,,,1369.4387305605787,,1370.23,,,,,,,,,,,,,,,,,,,,,,,,,1461.61,,,,,1465.68,1454.19,,,,,,,,,,1452.741596877218,,,,,,,,,,,,,,,,,,,1449.8403234501347,1478.69,,1449.3870080862534,1444.6426120937886,,,,,,,,1465.36,,,,,,,,1464.64,1464.2209164420485,,,1452.307115902965,,,,,,,1468.2341111111111,1452.73,,,1464.0268409931325,,,1453.53,,1452.7404851752021,1470.08,1462.27,,1459.414430992736,,,,,1464.993608988764,1463.7036645351698,,1463.6549656629688,1465.4413310225304,1459.28,1818.17,,1462.86,,1466.0549326145551,1463.651624807791,1465.0861660686828,,,,,,,,,,,,
1973-01-01,,1452.4174324324324,,,,,,1369.609019891501,,1370.3189208633094,,,,,,,,,,,,,,,,,,,,,,,,,1460.7839130434782,,,,,1463.3669565217392,1453.4508695652173,,,,,,,,,,1451.2935131298793,,,,,,,,,,,,,,,,,,,1449.5693424657534,1478.3125806451615,,1449.1029315068492,1442.333397778692,,,,,,,,1464.84,,,,,,,,1464.2,1463.8351232876714,,,1451.9957534246576,,,,,,,1465.1160655737706,1452.0471232876712,,,1464.261433350942,,,1452.8569421487603,,1452.4317808219178,1469.2154838709678,1461.256956521739,,1459.2229459241323,,,,,1465.0296988764044,1463.723413674373,,1463.7500880436696,1465.4520849220105,1458.105135135135,1815.5151612903226,,1461.7083870967742,,1465.4407671232877,1463.642270630446,1465.1341841790536,,,,,,,,,,,,
1974-01-01,,1452.2747918188459,,,,,,1369.7793092224233,,1370.6665633802816,,,,,,,,,,,,,,,,,,,,,,,,,1462.91,,,,,1469.98,1454.324375,,,,,,,,,,1449.845429382541,,,,,,,,,,1486.5482857142858,,,,,,,,,1449.9514049586776,1481.99,,1449.0551239669421,1440.0241834635951,,,,,,,,1465.47,,,,,,,,1464.2606936416184,1464.1562809917355,,,1452.0150413223141,,,,,,,1468.64,1452.67,,,1464.4960257087514,,,1453.19,,1452.450826446281,1470.48,1463.17,,1459.0314608555286,,,,,1465.0657887640448,1463.743162813576,,1463.8452104243704,1465.4628388214905,1458.07,1816.77,,1462.76,,1465.839090909091,1463.632916453101,1465.1822022894241,1433.45,1444.13,1433.95,,,1443.402,,,,,1430.71,
1975-01-01,,1452.1321512052593,,,,,,1369.9495985533454,,1370.733093922652,,,,,,,,,,,,,,,,,,,,,,,,,1462.11,,,,,1468.78,1454.49,,,,,,,,,,1448.3973456352023,,,,,,,,,,1487.0445234708393,,,,,,,,,1450.79,1480.09,,1449.58,1437.7149691484985,,,,,,,,1465.4948,,,,,,,,1465.26,1465.56,,,1452.5778048780487,,,,,,,1468.01,1452.84,,,1464.730618066561,,,1454.4110843373494,,1453.04,1470.88,1462.97,,1458.839975786925,,,,,1465.1,1463.7629119527792,,1463.9403328050714,1465.4735927209706,1457.94,1817.27,,1462.26,,1466.0948076923078,1463.623562275756,1465.230220399795,1433.276600284495,1443.61,1434.0539024390246,,,1443.9863953488373,,,,,1431.032631884058,
1976-01-01,,1451.9891197954712,,,,,,1370.1203544303798,,1370.659095890411,,,,,,,,,,,,,,,,,,,,,,,,,1461.31,,,,,1464.78,1454.29,,,,,,,,,,1446.9452945351313,,,,,,,,,,1487.4558179231865,,,,,,,,,1450.78,1479.29,,1449.59,1435.3994282188398,1470.88,,,,,,,1465.19,,,,,,,,1464.74,1465.09,,,1452.47,,,,,,,1466.43,1452.77,,,1464.965853143159,,,1452.6132098765434,,1452.89,1470.18,1461.97,,1458.647966101695,,,,,1464.24,1464.11,,1464.0357157950343,1465.4843760831889,1458.47,1817.37,,1461.86,1463.59,1465.4355585831063,1463.614182470528,1465.2783700666325,1433.3703129445234,1440.4887903225806,1434.3835084427767,,,1444.3612343470484,,,,,1432.4053971014491,
1977-01-01,,1451.8464791818847,,,,,,1370.2906437613021,,1371.3108791208792,,,,,,,,,,,,,,,,,,,,,,,,,1460.2896296296296,,,,,1462.867037037037,1453.039074074074,,,,,,,,,,1445.4972107877927,,,,,,,,,,1487.537438016529,,,,,,,,,1440.9052118644067,1478.9381481481482,,1440.6575423728814,1433.0902139037432,1468.78,,,,,,,1464.11,,,,,,,,1455.333783783784,1454.4267567567567,,,1441.5586016949153,,,,,,,1464.5025,1439.9519915254236,,,1465.2004455009685,,,1443.2355508474575,,1442.1520762711864,1468.9392592592592,1460.6394444444445,,1458.4564810330912,,,,,1462.498076923077,1462.3273076923076,,1464.130838175735,1465.495129982669,1457.209142857143,1816.1987037037036,,1460.5294444444444,1461.9390740740741,1464.1503038674034,1463.6048282931831,1465.3263881770033,1433.214958677686,1441.57,1434.7122138836774,,,1444.735049194991,,,,,1433.7744115942028,
1978-01-01,,1451.7038385682981,,,,,,1370.46,,1371.2358823529412,,,,,,,,,,,,,,1464.44,,,,,,,,1455.3,,,1460.59125,,,,,1463.7847619047618,1452.7249206349206,,,,,,,,,,1444.0491270404543,,,,,,,,,,1487.3328651685392,,,1439.94,,,,,,1449.92,1479.3116,,1448.9695348837208,1448.02,1472.85,,1463.7,1468.7,,,1465.2188888888888,1464.4175675675676,,,1470.79,1461.46,,,,1463.61,1463.84,,1450.07,1451.27,,1450.48,,,,,1468.25,1451.78,1451.19,,1465.4350378587778,,,1452.42,,1451.92,1469.2512,1460.428064516129,,1458.2649959644875,1457.29,1457.31,1455.31,,1463.6172972972975,1463.4259459459458,,1464.2259605564361,1465.505883882149,1456.77,1815.538253968254,,1460.197799043062,1462.08,1463.833781512605,1463.595474115838,1465.374406287374,1432.5526966292134,1443.25,1435.0409193245778,,,1445.1088640429339,,,,,1435.1434260869564,
1979-01-01,,1452.3,,,,,,1371.0,,1371.9,,,,,,,,,,,,,1466.29,1466.4,,,,,,,,1454.85,,,1461.81,1426.35,1425.28,,,1469.01,1453.6614285714286,,,,,,,,,,1453.98,,,,,,,,,,1487.5435752688172,1446.44,,1446.16,,,1450.59,1451.5,1449.65,1449.86,1481.49,,1448.97,1448.2,1474.74,,1462.28,1469.88,,,1466.31,1464.8126666666667,,1465.3,1471.89,1463.09,,,,1464.48,1465.05,,1451.62,1451.2,,1451.08,,,,,1468.49,1451.38,1451.47,,1465.6696302165874,,,1452.73,,1452.08,1471.48,1461.77,,1458.0735108958838,1457.04,1457.77,1456.65,1462.64,1464.85,1464.709756097561,,1464.321082937137,1465.516637781629,1456.84,1813.5414285714287,,1461.2028571428573,1462.79,1465.085945945946,1463.586119938493,1465.4224243977449,1436.4926086956523,1447.2789285714287,1436.5973913043479,,,1445.4826788908765,,,,,1436.51244057971,
