Permits,Year,Month,Well,x_2265,y_2265,x_2266,y_2266,total_dept,top_screen,bottom_scr,use_acft,days,cfd
"[3591, 5516, 5638]",1983,1,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.07365329552464163,31,103.4947597759158
"[3591, 5516, 5638]",1983,2,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.07365329552464163,28,114.58348403762105
"[3591, 5516, 5638]",1983,3,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.07365329552464163,31,103.4947597759158
"[3591, 5516, 5638]",1983,4,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.07365329552464163,30,106.94458510177965
"[3591, 5516, 5638]",1983,5,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.08285995746522183,31,116.43160474790525
"[3591, 5516, 5638]",1983,6,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.08285995746522183,30,120.3126582395021
"[3591, 5516, 5638]",1983,7,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.15344436567633674,31,215.61408286649123
"[3591, 5516, 5638]",1983,8,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.13809992910870306,31,194.05267457984212
"[3591, 5516, 5638]",1983,9,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.10741105597343571,30,155.96085327342865
"[3591, 5516, 5638]",1983,10,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.08285995746522183,31,116.43160474790525
"[3591, 5516, 5638]",1983,11,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.07365329552464163,30,106.94458510177965
"[3591, 5516, 5638]",1983,12,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.07365329552464163,31,103.4947597759158
"[3591, 5516, 5638]",1985,1,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.41429978732610917,31,582.1580237395262
"[3591, 5516, 5638]",1985,2,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.41429978732610917,28,644.5320977116183
"[3591, 5516, 5638]",1985,3,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.41429978732610917,31,582.1580237395262
"[3591, 5516, 5638]",1985,4,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.41429978732610917,30,601.5632911975105
"[3591, 5516, 5638]",1985,5,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.4603330970290102,31,646.8422485994737
"[3591, 5516, 5638]",1985,6,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.5217108432995449,30,757.5241444709392
"[3591, 5516, 5638]",1985,7,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.5217108432995449,31,733.0878817460701
"[3591, 5516, 5638]",1985,8,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.4603330970290102,31,646.8422485994737
"[3591, 5516, 5638]",1985,9,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.4603330970290102,30,668.4036568861228
"[3591, 5516, 5638]",1985,10,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.44498866046137653,31,625.2808403128246
"[3591, 5516, 5638]",1985,11,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.41429978732610917,30,601.5632911975105
"[3591, 5516, 5638]",1985,12,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,0.41429978732610917,31,582.1580237395262
"[3591, 5516, 5638]",1986,1,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.27515029875618,31,3196.953129478038
"[3591, 5516, 5638]",1986,2,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.2953313017299317,28,3570.879696548422
"[3591, 5516, 5638]",1986,3,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.2271222122994865,31,3129.465921540827
"[3591, 5516, 5638]",1986,4,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.1801682364025274,30,3165.60427925647
"[3591, 5516, 5638]",1986,5,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.198581560283688,31,3089.3617021276596
"[3591, 5516, 5638]",1986,6,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.7815167054880914,30,4038.7622563687087
"[3591, 5516, 5638]",1986,7,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,3.833009565721756,31,5385.996667188378
"[3591, 5516, 5638]",1986,8,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,3.695615480695164,31,5192.935817389721
"[3591, 5516, 5638]",1986,9,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.413802627581318,30,3504.841415248074
"[3591, 5516, 5638]",1986,10,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.6599887678724325,31,3737.7132493071986
"[3591, 5516, 5638]",1986,11,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.3237614738024432,30,3374.1016599611476
"[3591, 5516, 5638]",1986,12,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.2201251492246454,31,3119.6339193621147
"[3591, 5516, 5638]",1987,1,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,1.9395367821488962,31,2725.362007432449
"[3591, 5516, 5638]",1987,2,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,1.9548812187165299,28,3041.2366388318587
"[3591, 5516, 5638]",1987,3,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.2924588232044707,31,3221.2743980253786
"[3591, 5516, 5638]",1987,4,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,1.9149856836406824,30,2780.559212646271
"[3591, 5516, 5638]",1987,5,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.154358894095768,31,3027.221723445537
"[3591, 5516, 5638]",1987,6,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.5256942590325027,30,3667.308064115194
"[3591, 5516, 5638]",1987,7,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.645380864260045,31,3717.1867886183086
"[3591, 5516, 5638]",1987,8,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.835651877698703,31,3984.5482513727584
"[3591, 5516, 5638]",1987,9,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.0899122605117064,30,3034.552602262998
"[3591, 5516, 5638]",1987,10,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.034672288868225,31,2859.0427388096737
"[3591, 5516, 5638]",1987,11,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,1.9518123314030031,30,2834.0315051971606
"[3591, 5516, 5638]",1987,12,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.0193278523005915,31,2837.4813305230246
"[3591, 5516, 5638]",1988,1,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.2863210485774172,31,3212.6498347107195
"[3591, 5516, 5638]",1988,2,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,1.8812279231918883,29,2825.7340804909877
"[3591, 5516, 5638]",1988,3,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.231081076933936,31,3135.0287648787826
"[3591, 5516, 5638]",1988,4,15006106BBC,2453631.729599794,313902.84745484224,2453705.0,800029.0,342.0,227.0,290.0,2.9584073702397724,30,4295.60750158815
