date,gross_precipitation,net_infiltration,runoff,runoff_outside,actual_et,reference_ET0,interception,rejected_net_infiltration,soil_storage,snowfall
1/1/1995,0,0,0,0,0.010265484,0.015885911,0,0,1.668209848,0
1/2/1995,0.009789379,0,0,0,0.002829816,0.004380007,0,0,1.66660978,0.009789379
1/3/1995,0.044817973,0,0,0,0.002470227,0.003838361,0,0,1.665256172,0.044817973
1/4/1995,6.39E-05,0,0,0,0,0,0,0,1.665256172,6.39E-05
1/5/1995,0.014510836,0,0,0,0.000308559,0.000511524,0,0,1.665055609,0.014510836
1/6/1995,0,0,0,0,0.006412993,0.009968237,0,0,1.661550571,0
1/7/1995,1.33E-06,0,0,0,0.001648918,0.002604254,0,0,1.660611623,1.33E-06
1/8/1995,0,0,0,0,0.010775124,0.01671349,0,0,1.654801122,0
1/9/1995,0,0,0,0,0.01075756,0.016708328,0,0,1.649023745,0
1/10/1995,0.010784103,0,0,0,0.01136874,0.01768593,0,0,1.642939545,0.010784103
1/11/1995,0.09145815,0,0,0,0.005071824,0.007912141,0,0,1.640220227,0.09145815
1/12/1995,0.002851865,0,0,0,0,0,0,0,1.640220227,0.002851865
1/13/1995,0.017462569,0,0,0,0,0,0,0,1.640220227,0.017462569
1/14/1995,0,0,0,0,0.001375025,0.002231952,0,0,1.639401982,0
1/15/1995,0,0,0,0,0.003297649,0.005129611,0,0,1.637655339,0
1/16/1995,0,0,0,0,0,0,0,0,1.637655339,0
1/17/1995,0,0,0,0,0,0,0,0,1.637655339,0
1/18/1995,0,0,0,0,0.012098747,0.018830252,0,0,1.631272239,0
1/19/1995,0,0,0,0,0.003881501,0.006120924,0,0,1.629160894,0
1/20/1995,0,0,0,0,0.000234093,0.00039219,0,0,1.629012247,0
1/21/1995,0,0,0,0,0,0,0,0,1.629012247,0
1/22/1995,0.004040587,0,0,0,0.001664916,0.002643047,0,0,1.628092149,0.004040587
1/23/1995,0,0,0,0,0.0029785,0.004711888,0,0,1.626464325,0
1/24/1995,0,0,0,0,0.004132647,0.006475396,0,0,1.624269912,0
1/25/1995,0,0,0,0,0.006087931,0.009504603,0,0,1.62108085,0
1/26/1995,0,0,0,0,0.005405534,0.008438435,0,0,1.618262073,0
1/27/1995,0,0,0,0,0.005277357,0.008235961,0,0,1.615522758,0
1/28/1995,0,0,0,0,0.007733095,0.012120702,0,0,1.611478477,0
1/29/1995,0,0,0,0,0.010386106,0.016314546,0,0,1.606048482,0
1/30/1995,0,0,0,0,0.006544042,0.010290192,0,0,1.602637416,0
1/31/1995,0,0,0,0,0.008424427,0.013274148,0,0,1.598244934,0
2/1/1995,0,0,0,0,0.00839279,0.013251836,0,0,1.593869887,0
2/2/1995,0,0,0,0,0.010502867,0.016586141,0,0,1.588429334,0
2/3/1995,0,0,0.06164249,0.000173161,0.030882596,0.030883774,0,0,1.69769369,0
2/4/1995,0.019661658,0,0,0,0.008450147,0.012879889,0,0,1.693131031,0.019661658
2/5/1995,2.08E-07,0,0,0,0.011749916,0.017924462,0,0,1.686818117,2.08E-07
2/6/1995,0,0,0,0,0.01262357,0.019295108,0,0,1.680058015,0
2/7/1995,0,0,0,0,0.016131661,0.024775523,0,0,1.671389033,0
2/8/1995,0,0,0,0,0.011239163,0.01734238,0,0,1.665326984,0
2/9/1995,0.005517828,0,1.33E-06,0,0.027871948,0.042886289,0,0,1.66851648,0.005517828
2/10/1995,0.024795086,0,0,0,0.005504029,0.008488619,0,0,1.665556514,0.024795086
2/11/1995,0.034046623,0,0,0,2.25E-06,3.05E-06,0,0,1.665555767,0.034046623
2/12/1995,0.01935491,0,0,0,0,0,0,0,1.665555767,0.01935491
2/13/1995,0,0,0,0,0.003539363,0.005364957,0,0,1.663756285,0
2/14/1995,0.02224192,0,0,0,2.44E-05,4.21E-05,0,0,1.663738345,0.02224192
2/15/1995,0.12266357,0,0,0,0.004147064,0.006416403,0,0,1.661503144,0.12266357
2/16/1995,0.006460734,0,0,0,0.005704466,0.008715151,0,0,1.658551388,0.006460734
2/17/1995,0,0,0,0,0.005547698,0.008552383,0,0,1.655614748,0
2/18/1995,0,0,0,0,0.008594719,0.01332341,0,0,1.651013757,0
2/19/1995,0,0,0,0,0.007624108,0.011649932,0,0,1.647129428,0
2/20/1995,0,0,0,0,0.011037898,0.017057179,0,0,1.641351144,0
2/21/1995,0,0,0,0,0.024494222,0.037827392,0,0,1.628717038,0
2/22/1995,0,0,0.065746846,0.000157731,0.050269367,0.05074263,0,0,1.741276705,0
2/23/1995,0,0,0.002347419,9.45E-07,0.044108284,0.065155802,0,0,1.722582331,0
2/24/1995,0,0,0,0,0.037960597,0.057362244,0,0,1.702163386,0
2/25/1995,0.119332558,0,0.035051786,0.000114065,0.024593637,0.02459452,0,0,1.765261041,0
