,Site_Index,Location,USGS_ID,County,Basin,Aquifer,Purpose,Casing,Diameter,Measuring_Point_Elev_NVGD29,Land_Surface_Elev_NVGD29,Measuring_Point_Elev_NAVD88,Land_Surface_Elev_NAVD88,Elev_Type,Date_Drilled,Total_Depth,Bedrock_Depth,Top_Screen,Bottom_Screen,Longitude,Latitude,Coord_Type,geometry,Aquifer_sort,record_span_days,index_right,row,column
16,3448,15106329AAC2,475224098443202,Benson,Devils Lake Basin,Warwick,Observation Well - Recorder,Steel,6.0,1480.1899999999998,1479.78,1481.36,1480.95,Global Position Survey,1951-06-04,80.0,0.0,57.0,67.0,-98.743824,47.872928,GPS - Surveyed,POINT (2399467.983140538 323328.5181358643),Warwick,26743,12261,80,17
6,5386,15006313BBB,474857098402001,Eddy,Sheyenne River,Warwick,Observation Well,Steel,1.5,1481.11,1476.43,1482.29,1477.61,Global Position Survey,1952-01-01,17.0,0.0,15.0,17.0,-98.673039,47.818375,GPS - Surveyed,POINT (2417307.4820887716 303839.13416005106),Warwick,26452,16783,109,44
40,3395,15106219ADD1,475258098375001,Benson,Devils Lake Basin,Warwick,Observation Well,PVC,4.0,1482.24,1481.16,1483.43,1482.35,Global Position Survey,1967-10-19,80.0,45.0,33.0,38.0,-98.630294,47.88404,GPS - Surveyed,POINT (2427224.418680529 328036.61806598643),Warwick,20836,11218,73,59
36,3438,15106325BBB,475225098401401,Benson,Devils Lake Basin,Warwick,Observation Well,ABS,1.25,1475.31,1473.4299999999998,1476.49,1474.61,Global Position Survey,1967-01-01,53.0,0.0,45.0,47.0,-98.673074,47.876484,GPS - Surveyed,POINT (2416796.0014585955 325029.24616392446),Warwick,20788,11822,77,43
8,5390,15006315BBB,474857098425501,Eddy,Sheyenne River,Warwick,Observation Well,Downspout,3.0,1479.41,1478.56,1480.59,1479.74,Global Position Survey,1970-05-08,38.0,0.0,0.0,28.4,-98.715788,47.818417,GPS - Surveyed,POINT (2406807.4900666205 303608.18655913434),Warwick,19918,16922,110,28
7,5382,15006302CCC1,,Eddy,Sheyenne River,Warwick,Observation Well,Downspout,3.0,1473.87,1472.85,1475.05,1474.03,Global Position Survey,,0.0,0.0,0.0,0.0,-98.694203,47.833237,GPS - Surveyed,POINT (2411982.251296781 309136.16009948),Warwick,18777,15535,101,36
146,3388,15106215CCC3,475329098351401,Benson,Sheyenne River,Warwick,Observation Well,PVC,2.0,1480.48,1477.68,1481.68,1478.88,Global Position Survey,1975-10-10,21.0,0.0,16.4,21.4,-98.586655,47.891251,GPS - Surveyed,POINT (2437863.434430162 330929.1769282051),Warwick,17933,10459,68,75
43,3393,15106219ABB,,Benson,Devils Lake Basin,Warwick,Observation Well,PVC,1.25,1484.8,1483.46,1485.99,1484.65,Global Position Survey,1978-05-16,80.0,53.0,30.0,33.0,-98.640883,47.89099,GPS - Surveyed,POINT (2424565.774933552 330508.11799923534),Warwick,16972,10594,69,55
46,3431,15106322CBB,,Benson,Devils Lake Basin,Warwick,Observation Well,PVC,1.25,1473.85,1471.98,1475.02,1473.15,Global Position Survey,1978-05-18,140.0,0.0,50.0,53.0,-98.715718,47.883627,GPS - Surveyed,POINT (2406273.51564282 327388.70494344673),Warwick,16622,11341,74,27
93,5364,15006204BBA,,Eddy,Sheyenne River,Warwick,Observation Well,PVC,1.25,1473.3,1471.23,1474.48,1472.41,Global Position Survey,1977-07-22,70.0,0.0,50.0,56.0,-98.604187,47.846402,GPS - Surveyed,POINT (2433966.3248985214 314468.25232169806),Warwick,16622,14328,93,69
33,3403,15106220DAD2,,Benson,Sheyenne River,Warwick,Observation Well,PVC,1.25,1471.87,1469.53,1473.06,1470.72,Global Position Survey,1979-07-31,80.0,0.0,55.0,58.0,-98.608787,47.880315,GPS - Surveyed,POINT (2432533.3402650813 326807.13179087953),Warwick,16540,11536,75,67
0,21410,15006218AAA,,Eddy,Sheyenne River,Warwick,Observation Well,,0.0,1476.13,1474.13,1477.3100000000002,1475.3100000000002,Survey 0.01 ft,,17.5,0.0,0.0,17.5,-98.631642,47.817284,,POINT (2427484.576587135 303685.32203416293),Warwick,15239,16953,110,59
158,9711,15106203DDD1,,Ramsey,Sheyenne River,Warwick,Observation Well - Plugged,PVC,1.25,1536.26,1534.13,1537.47,1535.34,Global Position Survey,1973-08-23,380.0,370.0,62.0,65.0,-98.568861,47.919413,GPS - Surveyed,POINT (2441969.920537956 341307.5720848152),Warwick,13508,8140,53,81
32,3414,15106227AAA1,475225098340201,Benson,Sheyenne River,Warwick,Observation Well - Plugged,PVC,1.25,1471.4,1468.4,1472.59,1469.59,Survey 0.1 ft,1967-01-01,24.0,0.0,14.0,16.0,-98.566656,47.875742,Calculated,POINT (2442910.364665181 325396.3048451229),Warwick,13047,11862,77,83
124,13277,15106225DAA3,,Benson,Sheyenne River,Warwick,Observation Well,PVC,2.0,1481.82,1481.87,1483.0,1483.05,Global Position Survey,1991-07-31,30.0,0.0,18.0,23.0,-98.525646,47.86778,GPS - Surveyed,POINT (2453045.7320730775 322748.3302367837),Warwick,12155,12497,81,98
127,13274,15106224DDC3,,Benson,Sheyenne River,Warwick,Observation Well,PVC,2.0,1486.98,1484.89,1488.17,1486.0800000000002,Global Position Survey,1991-07-25,28.0,0.0,18.0,23.0,-98.529384,47.875406,GPS - Surveyed,POINT (2452057.3741084933 325505.6431954964),Warwick,12149,11875,77,96
132,13271,15106224CCC3,,Benson,Sheyenne River,Warwick,Observation Well,PVC,2.0,1480.93,1479.02,1482.12,1480.21,Global Position Survey,1991-07-25,30.0,0.0,18.0,23.0,-98.546957,47.87612,GPS - Surveyed,POINT (2447739.6019716426 325656.1345127259),Warwick,12149,11714,76,90
135,13269,15106223ABB3,,Benson,Sheyenne River,Warwick,Observation Well,PVC,2.0,1478.53,1476.45,1479.73,1477.65,Global Position Survey,1991-07-31,60.0,0.0,48.0,53.0,-98.557482,47.889643,GPS - Surveyed,POINT (2445033.1040923707 330522.00396338047),Warwick,12149,10625,69,86
17,3428,15106320DDC,,Benson,Devils Lake Basin,Warwick,Observation Well - Plugged,PVC,1.25,1484.14,1482.17,1485.3100000000002,1483.34,Global Position Survey,1978-05-11,60.0,0.0,33.0,36.0,-98.742329,47.876542,GPS - Surveyed,POINT (2399804.700323873 324654.8200384759),Warwick,11782,11951,78,17
77,21537,15006117DCC,,Nelson,Sheyenne River,Warwick,Observation Well - Plugged,PVC,2.0,1442.69,1440.69,1443.85,1441.85,Topographic Map,1985-09-25,50.0,0.0,30.0,35.0,-98.492372,47.803763,Calculated,POINT (2461818.7297614175 299616.12369444466),Warwick,11535,17935,116,111
35,3439,15106325BCB,,Benson,Devils Lake Basin,Warwick,Observation Well,PVC,4.0,1472.72,1470.65,1473.9,1471.8300000000002,Global Position Survey,,0.0,0.0,30.0,50.0,-98.672905,47.872676,GPS - Surveyed,POINT (2416870.4211486666 323641.58209601394),Warwick,11409,12132,79,43
14,3453,15106329DCC,475139098444501,Benson,Devils Lake Basin,Warwick,Observation Well,Steel,1.25,1477.29,1475.29,1478.46,1476.46,Survey 0.01 ft,1967-10-04,47.0,0.0,40.0,42.0,-98.747519,47.862844,Calculated,POINT (2398645.103357346 319630.4863841195),Warwick,9908,13034,85,15
25,3443,15106326CBB,,Benson,Devils Lake Basin,Warwick,Observation Well,Steel,1.25,1468.55,1467.55,1469.72,1468.72,Topographic Map,1967-01-01,16.0,0.0,14.0,16.0,-98.693519,47.868315,Calculated,POINT (2411850.027311997 321931.9021120036),Warwick,9659,12589,82,35
11,3458,15106335CCC,475047098413101,Benson,Devils Lake Basin,Warwick,Observation Well,Steel,1.25,1475.77,1473.77,1476.94,1474.94,Survey 0.01 ft,1968-01-01,26.0,25.0,19.0,24.0,-98.693431,47.848375,Calculated,POINT (2412042.2618415947 314660.93616171443),Warwick,9594,14295,93,36
