PRISM Time Series Data
Location:  Lat: 47.8746   Lon: -98.5477   Elev: 1480ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1970-01 - 2025-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Apr-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1970-01,0.40
1970-02,0.23
1970-03,0.59
1970-04,2.69
1970-05,2.74
1970-06,3.49
1970-07,3.41
1970-08,1.26
1970-09,2.02
1970-10,0.79
1970-11,0.81
1970-12,0.49
1971-01,0.90
1971-02,0.17
1971-03,1.03
1971-04,1.23
1971-05,1.20
1971-06,5.49
1971-07,2.81
1971-08,1.51
1971-09,2.11
1971-10,3.48
1971-11,0.14
1971-12,0.14
1972-01,0.41
1972-02,0.52
1972-03,0.89
1972-04,0.79
1972-05,2.80
1972-06,1.32
1972-07,1.80
1972-08,2.96
1972-09,2.13
1972-10,1.01
1972-11,0.08
1972-12,0.83
1973-01,0.00
1973-02,0.08
1973-03,0.71
1973-04,0.52
1973-05,1.56
1973-06,2.69
1973-07,1.42
1973-08,3.39
1973-09,4.51
1973-10,2.20
1973-11,0.87
1973-12,0.60
1974-01,0.38
1974-02,0.51
1974-03,0.38
1974-04,2.41
1974-05,5.17
1974-06,1.32
1974-07,3.12
1974-08,3.62
1974-09,0.51
1974-10,1.02
1974-11,1.13
1974-12,0.43
1975-01,0.55
1975-02,0.17
1975-03,0.87
1975-04,2.52
1975-05,1.84
1975-06,5.25
1975-07,1.44
1975-08,1.77
1975-09,1.30
1975-10,0.73
1975-11,0.52
1975-12,0.31
1976-01,0.68
1976-02,0.65
1976-03,0.81
1976-04,1.64
1976-05,0.56
1976-06,4.08
1976-07,0.77
1976-08,1.76
1976-09,0.44
1976-10,0.06
1976-11,0.08
1976-12,0.34
1977-01,0.56
1977-02,0.48
1977-03,0.68
1977-04,0.27
1977-05,4.11
1977-06,1.95
1977-07,4.21
1977-08,2.36
1977-09,3.74
1977-10,1.04
1977-11,1.82
1977-12,1.12
1978-01,0.19
1978-02,0.16
1978-03,0.16
1978-04,1.28
1978-05,2.77
1978-06,2.12
1978-07,3.26
1978-08,2.35
1978-09,1.80
1978-10,0.36
1978-11,0.74
1978-12,0.63
1979-01,0.40
1979-02,1.13
1979-03,1.32
1979-04,2.51
1979-05,1.87
1979-06,3.75
1979-07,3.77
1979-08,1.40
1979-09,0.65
1979-10,0.41
1979-11,0.40
1979-12,0.22
1980-01,0.90
1980-02,0.37
1980-03,0.35
1980-04,0.00
1980-05,1.24
1980-06,3.09
1980-07,2.59
1980-08,5.16
1980-09,3.21
1980-10,1.90
1980-11,0.84
1980-12,0.27
1981-01,0.29
1981-02,1.09
1981-03,0.64
1981-04,2.05
1981-05,1.60
1981-06,5.70
1981-07,3.34
1981-08,1.49
1981-09,2.84
1981-10,2.11
1981-11,0.49
1981-12,0.26
1982-01,0.86
1982-02,0.27
1982-03,1.07
1982-04,0.11
1982-05,2.61
1982-06,4.61
1982-07,3.62
1982-08,1.12
1982-09,0.87
1982-10,4.58
1982-11,0.77
1982-12,0.54
1983-01,0.86
1983-02,0.32
1983-03,1.69
1983-04,0.37
1983-05,1.07
1983-06,3.00
1983-07,2.69
1983-08,7.15
1983-09,2.90
1983-10,1.35
1983-11,0.61
1983-12,0.46
1984-01,0.56
1984-02,0.34
1984-03,0.79
1984-04,1.70
1984-05,0.44
1984-06,3.41
1984-07,1.70
1984-08,1.11
1984-09,0.83
1984-10,3.18
1984-11,0.49
1984-12,0.58
1985-01,0.24
1985-02,0.21
1985-03,0.77
1985-04,0.26
1985-05,3.78
1985-06,3.12
1985-07,0.62
1985-08,4.47
1985-09,2.12
1985-10,2.09
1985-11,1.55
1985-12,0.26
1986-01,0.37
1986-02,0.44
1986-03,0.05
1986-04,2.79
1986-05,1.35
1986-06,1.30
1986-07,6.80
1986-08,1.68
1986-09,2.21
1986-10,0.43
1986-11,2.10
1986-12,0.16
1987-01,0.32
1987-02,1.19
1987-03,0.87
1987-04,0.11
1987-05,4.03
1987-06,2.74
1987-07,6.24
1987-08,2.18
1987-09,0.94
1987-10,0.10
1987-11,0.15
1987-12,0.58
1988-01,0.80
1988-02,0.06
1988-03,1.22
1988-04,0.12
1988-05,1.95
1988-06,1.59
1988-07,2.95
1988-08,2.17
1988-09,0.85
1988-10,0.23
1988-11,0.54
1988-12,1.05
1989-01,1.01
1989-02,0.08
1989-03,1.32
1989-04,0.42
1989-05,2.06
1989-06,1.92
1989-07,1.17
1989-08,4.04
1989-09,1.84
1989-10,0.12
1989-11,0.48
1989-12,0.06
1990-01,0.12
1990-02,0.17
1990-03,1.65
1990-04,1.07
1990-05,0.64
1990-06,6.51
1990-07,2.18
1990-08,1.70
1990-09,1.60
1990-10,0.31
1990-11,0.04
1990-12,0.44
1991-01,0.10
1991-02,0.49
1991-03,0.21
1991-04,1.87
1991-05,3.02
1991-06,5.38
1991-07,4.69
1991-08,2.58
1991-09,4.61
1991-10,2.05
1991-11,0.63
1991-12,0.42
1992-01,0.33
1992-02,0.30
1992-03,0.54
1992-04,0.43
1992-05,1.43
1992-06,2.08
1992-07,3.21
1992-08,2.20
1992-09,1.63
1992-10,0.11
1992-11,1.20
1992-12,0.63
1993-01,0.36
1993-02,0.08
1993-03,0.44
1993-04,0.85
1993-05,3.36
1993-06,5.71
1993-07,11.01
1993-08,3.35
1993-09,0.29
1993-10,0.19
1993-11,0.72
1993-12,0.67
1994-01,0.78
1994-02,0.46
1994-03,0.26
1994-04,0.30
1994-05,2.33
1994-06,5.06
1994-07,3.68
1994-08,3.71
1994-09,3.28
1994-10,3.36
1994-11,2.01
1994-12,0.12
1995-01,0.38
1995-02,0.36
1995-03,1.56
1995-04,0.30
1995-05,1.41
1995-06,2.25
1995-07,4.46
1995-08,2.40
1995-09,1.33
1995-10,1.77
1995-11,1.25
1995-12,0.91
1996-01,0.92
1996-02,0.51
1996-03,1.00
1996-04,0.36
1996-05,1.59
1996-06,3.07
1996-07,3.39
1996-08,1.46
1996-09,1.70
1996-10,1.07
1996-11,1.55
1996-12,1.10
1997-01,0.96
1997-02,0.12
1997-03,0.64
1997-04,0.43
1997-05,0.94
1997-06,2.46
1997-07,3.83
1997-08,1.94
1997-09,1.22
1997-10,2.08
1997-11,0.35
1997-12,0.14
1998-01,0.41
1998-02,1.46
1998-03,0.22
1998-04,1.78
1998-05,2.01
1998-06,3.25
1998-07,1.74
1998-08,1.28
1998-09,0.73
1998-10,3.69
1998-11,1.51
1998-12,0.19
1999-01,0.75
1999-02,0.31
1999-03,0.56
1999-04,0.42
1999-05,3.59
1999-06,3.94
1999-07,3.47
1999-08,5.03
1999-09,1.87
1999-10,0.01
1999-11,0.00
1999-12,0.17
2000-01,0.17
2000-02,1.23
2000-03,0.51
2000-04,0.71
2000-05,1.05
2000-06,7.65
2000-07,3.67
2000-08,4.25
2000-09,1.98
2000-10,2.43
2000-11,2.42
2000-12,0.43
2001-01,0.04
2001-02,0.37
2001-03,0.07
2001-04,0.92
2001-05,2.25
2001-06,4.68
2001-07,4.97
2001-08,2.21
2001-09,1.19
2001-10,1.81
2001-11,0.13
2001-12,0.34
2002-01,0.15
2002-02,0.02
2002-03,0.38
2002-04,1.13
2002-05,1.79
2002-06,5.67
2002-07,1.48
2002-08,4.62
2002-09,0.53
2002-10,0.75
2002-11,0.15
2002-12,0.59
2003-01,0.24
2003-02,0.09
2003-03,0.53
2003-04,0.55
2003-05,4.00
2003-06,4.20
2003-07,4.55
2003-08,2.17
2003-09,0.96
2003-10,0.46
2003-11,0.34
2003-12,0.57
2004-01,1.02
2004-02,0.16
2004-03,3.22
2004-04,0.63
2004-05,5.06
2004-06,2.35
2004-07,3.34
2004-08,1.57
2004-09,3.40
2004-10,1.02
2004-11,0.04
2004-12,0.37
2005-01,0.60
2005-02,0.03
2005-03,0.07
2005-04,0.88
2005-05,4.56
2005-06,4.94
2005-07,2.48
2005-08,2.12
2005-09,0.66
2005-10,1.35
2005-11,1.30
2005-12,0.59
2006-01,0.62
2006-02,0.64
2006-03,0.83
2006-04,1.09
2006-05,2.25
2006-06,1.50
2006-07,0.66
2006-08,1.33
2006-09,1.45
2006-10,1.26
2006-11,0.02
2006-12,0.85
2007-01,0.04
2007-02,0.40
2007-03,2.18
2007-04,0.34
2007-05,5.73
2007-06,3.94
2007-07,3.73
2007-08,2.42
2007-09,1.15
2007-10,0.89
2007-11,0.28
2007-12,0.68
2008-01,0.03
2008-02,0.77
2008-03,0.31
2008-04,0.31
2008-05,1.04
2008-06,4.81
2008-07,4.01
2008-08,2.74
2008-09,5.52
2008-10,3.05
2008-11,2.48
2008-12,1.42
2009-01,0.62
2009-02,1.14
2009-03,1.31
2009-04,1.91
2009-05,1.52
2009-06,1.85
2009-07,1.01
2009-08,3.35
2009-09,3.36
2009-10,2.93
2009-11,0.01
2009-12,1.65
2010-01,0.89
2010-02,0.70
2010-03,1.39
2010-04,1.89
2010-05,4.94
2010-06,3.00
2010-07,3.11
2010-08,1.99
2010-09,4.76
2010-10,1.66
2010-11,0.64
2010-12,1.48
2011-01,0.74
2011-02,0.09
2011-03,1.13
2011-04,1.91
2011-05,2.20
2011-06,4.12
2011-07,2.26
2011-08,4.99
2011-09,2.33
2011-10,0.83
2011-11,0.18
2011-12,0.34
2012-01,0.21
2012-02,0.12
2012-03,0.43
2012-04,1.24
2012-05,1.66
2012-06,2.03
2012-07,1.97
2012-08,3.23
2012-09,0.26
2012-10,3.61
2012-11,1.18
2012-12,0.20
2013-01,0.38
2013-02,0.39
2013-03,1.28
2013-04,1.50
2013-05,4.42
2013-06,3.59
2013-07,1.14
2013-08,0.85
2013-09,1.98
2013-10,3.67
2013-11,0.33
2013-12,0.97
2014-01,0.40
2014-02,0.14
2014-03,1.19
2014-04,3.30
2014-05,2.99
2014-06,5.81
2014-07,3.60
2014-08,2.54
2014-09,0.98
2014-10,0.56
2014-11,0.50
2014-12,0.05
2015-01,0.33
2015-02,0.23
2015-03,0.38
2015-04,0.70
2015-05,4.47
2015-06,4.10
2015-07,4.59
2015-08,1.25
2015-09,1.17
2015-10,1.31
2015-11,0.83
2015-12,1.28
2016-01,0.28
2016-02,1.28
2016-03,0.49
2016-04,1.82
2016-05,3.25
2016-06,3.93
2016-07,5.29
2016-08,4.08
2016-09,3.11
2016-10,1.30
2016-11,1.24
2016-12,2.65
2017-01,0.56
2017-02,0.33
2017-03,0.45
2017-04,2.52
2017-05,1.32
2017-06,2.64
2017-07,0.73
2017-08,2.50
2017-09,3.27
2017-10,0.06
2017-11,0.61
2017-12,0.50
2018-01,0.57
2018-02,0.43
2018-03,0.92
2018-04,0.08
2018-05,2.17
2018-06,5.21
2018-07,3.20
2018-08,0.55
2018-09,1.42
2018-10,1.99
2018-11,0.78
2018-12,0.77
2019-01,0.48
2019-02,1.18
2019-03,0.55
2019-04,1.32
2019-05,1.53
2019-06,4.94
2019-07,3.85
2019-08,2.68
2019-09,4.87
2019-10,4.54
2019-11,0.35
2019-12,1.42
2020-01,0.48
2020-02,0.03
2020-03,0.28
2020-04,1.08
2020-05,2.02
2020-06,1.66
2020-07,6.33
2020-08,1.49
2020-09,0.31
2020-10,0.45
2020-11,0.08
2020-12,0.24
2021-01,0.24
2021-02,0.26
2021-03,0.01
2021-04,0.37
2021-05,1.34
2021-06,2.57
2021-07,2.79
2021-08,3.57
2021-09,2.04
2021-10,4.18
2021-11,0.99
2021-12,1.34
2022-01,0.50
2022-02,0.37
2022-03,0.28
