stage	SHIFT	flow_cfs	STOR
2.05	0.00	0.10	*
2.06	0.00	0.18	
2.07	0.00	0.29	
2.08	0.00	0.43	
2.09	0.00	0.61	
2.10	0.00	0.85	
2.11	0.00	1.13	
2.12	0.00	1.48	
2.13	0.00	1.89	
2.14	0.00	2.37	
2.15	0.00	2.92	
2.16	0.00	3.56	
2.17	0.00	4.29	
2.18	0.00	5.10	
2.19	0.00	6.02	
2.20	0.00	7.04	*
2.21	0.00	8.12	
2.22	0.00	9.31	
2.23	0.00	10.60	
2.24	0.00	11.93	
2.25	0.00	13.31	
2.26	0.00	14.79	
2.27	0.00	16.38	
2.28	0.00	18.07	
2.29	0.00	19.87	
2.30	-0.01	21.79	*
2.31	-0.01	23.49	
2.32	-0.01	24.73	
2.33	-0.01	26.00	
2.34	-0.01	27.30	
2.35	-0.01	28.62	
2.36	-0.01	29.97	
2.37	-0.01	31.35	
2.38	-0.01	32.75	
2.39	-0.01	34.18	
2.40	-0.01	35.64	*
2.41	-0.02	37.12	
2.42	-0.02	38.27	
2.43	-0.02	38.92	
2.44	-0.02	39.57	
2.45	-0.02	40.22	
2.46	-0.02	40.86	
2.47	-0.02	41.50	
2.48	-0.02	42.13	
2.49	-0.02	42.77	
2.50	-0.02	43.40	*
2.51	-0.02	44.02	
2.52	-0.03	44.65	
2.53	-0.03	45.25	
2.54	-0.03	45.82	
2.55	-0.03	46.38	
2.56	-0.03	46.94	
2.57	-0.03	47.50	
2.58	-0.03	48.06	
2.59	-0.03	48.62	
2.60	-0.03	49.17	
2.61	-0.03	49.72	
2.62	-0.03	50.26	
2.63	-0.03	50.81	
2.64	-0.04	51.35	
2.65	-0.04	51.89	
2.66	-0.04	52.42	
2.67	-0.04	52.96	
2.68	-0.04	53.49	
2.69	-0.04	54.02	
2.70	-0.04	54.55	
2.71	-0.04	55.07	
2.72	-0.04	55.60	
2.73	-0.04	56.12	
2.74	-0.04	56.64	
2.75	-0.05	57.15	
2.76	-0.05	57.67	
2.77	-0.05	58.18	
2.78	-0.05	58.69	
2.79	-0.05	59.20	
2.80	-0.05	59.71	
2.81	-0.05	60.21	
2.82	-0.05	60.71	
2.83	-0.05	61.22	
2.84	-0.05	61.72	
2.85	-0.05	62.21	
2.86	-0.06	62.71	
2.87	-0.06	63.20	
2.88	-0.06	63.70	
2.89	-0.06	64.19	
2.90	-0.06	64.68	
2.91	-0.06	65.17	
2.92	-0.06	65.65	
2.93	-0.06	66.14	
2.94	-0.06	66.62	
2.95	-0.06	67.10	
2.96	-0.06	67.58	
2.97	-0.07	68.06	
2.98	-0.07	68.54	
2.99	-0.07	69.02	
3.00	-0.07	69.49	*
3.01	-0.07	69.96	
3.02	-0.07	70.44	
3.03	-0.07	70.91	
3.04	-0.07	71.38	
3.05	-0.07	71.84	
3.06	-0.07	72.31	
3.07	-0.07	72.77	
3.08	-0.08	73.37	
3.09	-0.08	74.10	
3.10	-0.08	74.83	*
3.11	-0.08	75.55	
3.12	-0.08	76.28	
3.13	-0.08	77.01	
3.14	-0.08	77.74	
3.15	-0.08	78.47	
3.16	-0.08	79.20	
3.17	-0.08	79.93	
3.18	-0.08	80.66	
3.19	-0.09	81.57	
3.20	-0.09	82.64	*
3.21	-0.09	83.71	
3.22	-0.09	84.79	
3.23	-0.09	85.88	
3.24	-0.09	86.97	
3.25	-0.09	88.06	
3.26	-0.09	89.16	
3.27	-0.09	90.27	
3.28	-0.09	91.38	
3.29	-0.09	92.49	
3.30	-0.09	93.86	*
3.31	-0.10	95.43	
3.32	-0.10	97.02	
3.33	-0.10	98.62	
3.34	-0.10	100.24	
3.35	-0.10	101.87	
3.36	-0.10	103.52	
3.37	-0.10	105.18	
3.38	-0.10	106.86	
3.39	-0.10	108.55	
3.40	-0.10	110.25	
3.41	-0.10	111.99	
3.42	-0.11	113.75	
3.43	-0.11	115.53	
3.44	-0.11	117.33	
3.45	-0.11	119.14	
3.46	-0.11	120.97	
3.47	-0.11	123.06	
3.48	-0.11	125.25	
3.49	-0.11	127.46	
3.50	-0.11	129.69	
3.51	-0.11	131.94	
3.52	-0.11	134.22	
3.53	-0.10	136.51	
3.54	-0.10	138.83	
3.55	-0.10	141.17	
3.56	-0.10	143.53	
3.57	-0.10	145.92	
3.58	-0.10	148.32	
3.59	-0.10	150.75	
3.60	-0.10	153.20	
3.61	-0.10	155.67	
3.62	-0.10	158.16	
3.63	-0.10	160.68	
3.64	-0.10	163.21	
3.65	-0.10	165.77	
3.66	-0.10	168.35	
3.67	-0.09	170.96	
3.68	-0.09	173.58	
3.69	-0.09	176.23	
3.70	-0.09	178.90	
3.71	-0.09	181.59	
3.72	-0.09	184.31	
3.73	-0.09	187.05	
3.74	-0.09	189.81	
3.75	-0.09	192.59	
3.76	-0.09	195.39	
3.77	-0.09	198.22	
3.78	-0.09	201.07	
3.79	-0.09	203.94	
3.80	-0.09	206.84	
3.81	-0.08	209.76	
3.82	-0.08	212.70	
3.83	-0.08	215.66	
3.84	-0.08	218.65	
3.85	-0.08	221.65	
3.86	-0.08	224.69	
3.87	-0.08	227.74	
3.88	-0.08	230.82	
3.89	-0.08	233.92	
3.90	-0.08	237.04	
3.91	-0.08	240.19	
3.92	-0.08	243.36	
3.93	-0.08	246.55	
3.94	-0.08	249.77	
3.95	-0.07	253.00	
3.96	-0.07	256.27	
3.97	-0.07	259.55	
3.98	-0.07	262.86	
3.99	-0.07	266.19	
4.00	-0.07	269.55	
4.01	-0.07	272.93	
4.02	-0.07	276.33	
4.03	-0.07	279.75	
4.04	-0.07	283.20	
4.05	-0.07	286.67	
4.06	-0.07	290.17	
4.07	-0.07	293.69	
4.08	-0.07	297.23	
4.09	-0.06	300.80	
4.10	-0.06	304.39	
4.11	-0.06	308.00	
4.12	-0.06	311.64	
4.13	-0.06	315.30	
4.14	-0.06	318.99	
4.15	-0.06	322.70	
4.16	-0.06	326.43	
4.17	-0.06	330.18	
4.18	-0.06	333.97	
4.19	-0.06	337.77	
4.20	-0.06	341.60	
4.21	-0.06	345.45	
4.22	-0.06	349.33	
4.23	-0.05	353.23	
4.24	-0.05	357.15	
4.25	-0.05	361.10	
4.26	-0.05	365.07	
4.27	-0.05	369.07	
4.28	-0.05	373.09	
4.29	-0.05	377.13	
4.30	-0.05	381.20	
4.31	-0.05	385.30	
4.32	-0.05	389.41	
4.33	-0.05	393.56	
4.34	-0.05	397.72	
4.35	-0.05	401.91	
4.36	-0.05	406.13	
4.37	-0.04	410.37	
4.38	-0.04	414.63	
4.39	-0.04	418.92	
4.40	-0.04	423.24	
4.41	-0.04	427.57	
4.42	-0.04	431.94	
4.43	-0.04	436.32	
4.44	-0.04	440.73	
4.45	-0.04	445.17	
4.46	-0.04	449.63	
4.47	-0.04	454.12	
4.48	-0.04	458.63	
4.49	-0.04	463.16	
4.50	-0.04	467.72	
4.51	-0.03	472.31	
4.52	-0.03	476.92	
4.53	-0.03	481.55	
4.54	-0.03	486.21	
4.55	-0.03	490.90	
4.56	-0.03	495.61	
4.57	-0.03	500.34	
4.58	-0.03	505.10	
4.59	-0.03	509.88	
4.60	-0.03	514.69	
4.61	-0.03	519.53	
4.62	-0.03	524.39	
4.63	-0.03	529.27	
4.64	-0.03	534.18	
4.65	-0.02	539.12	
4.66	-0.02	544.08	
4.67	-0.02	549.06	
4.68	-0.02	554.07	
4.69	-0.02	559.11	
4.70	-0.02	564.17	
4.71	-0.02	569.26	
4.72	-0.02	574.37	
4.73	-0.02	579.51	
4.74	-0.02	584.67	
4.75	-0.02	589.86	
4.76	-0.02	595.07	
4.77	-0.02	600.31	
4.78	-0.02	605.58	
4.79	-0.01	610.87	
4.80	-0.01	616.18	
4.81	-0.01	621.52	
4.82	-0.01	626.89	
4.83	-0.01	632.28	
4.84	-0.01	637.70	
4.85	-0.01	643.15	
4.86	-0.01	648.62	
4.87	-0.01	654.11	
4.88	-0.01	659.63	
4.89	-0.01	665.18	
4.90	-0.01	670.75	
4.91	-0.01	676.35	
4.92	-0.01	681.98	
4.93	0.00	687.63	
4.94	0.00	693.31	
4.95	0.00	699.01	
4.96	0.00	704.74	
4.97	0.00	710.49	
4.98	0.00	716.27	
4.99	0.00	722.08	
5.00	0.00	727.91	
5.01	0.00	733.38	
5.02	0.00	738.87	
5.03	0.00	744.38	
5.04	0.00	749.92	
5.05	0.00	755.48	
5.06	0.00	761.06	
5.07	0.00	766.66	
5.08	0.00	772.29	
5.09	0.00	777.94	
5.10	0.00	783.62	
5.11	0.00	789.31	
5.12	0.00	795.03	
5.13	0.00	800.77	
5.14	0.00	806.54	
5.15	0.00	812.33	
5.16	0.00	818.14	
5.17	0.00	823.97	
5.18	0.00	829.83	
5.19	0.00	835.71	
5.20	0.00	841.61	
5.21	0.00	847.54	
5.22	0.00	853.49	
5.23	0.00	859.46	
5.24	0.00	865.46	
5.25	0.00	871.47	
5.26	0.00	877.52	
5.27	0.00	883.58	
5.28	0.00	889.67	
5.29	0.00	895.78	
5.30	0.00	901.92	
5.31	0.00	908.07	
5.32	0.00	914.26	
5.33	0.00	920.46	
5.34	0.00	926.69	
5.35	0.00	932.94	
5.36	0.00	939.21	
5.37	0.00	945.51	
5.38	0.00	951.83	
5.39	0.00	958.18	
5.40	0.00	964.55	
5.41	0.00	970.94	
5.42	0.00	977.35	
5.43	0.00	983.79	
5.44	0.00	990.25	
5.45	0.00	996.74	
5.46	0.00	1003.25	
5.47	0.00	1009.78	
5.48	0.00	1016.34	
5.49	0.00	1022.92	
5.50	0.00	1029.52	
5.51	0.00	1036.15	
5.52	0.00	1042.80	
5.53	0.00	1049.47	
5.54	0.00	1056.17	
5.55	0.00	1062.89	
5.56	0.00	1069.64	
5.57	0.00	1076.41	
5.58	0.00	1083.20	
5.59	0.00	1090.01	
5.60	0.00	1096.85	
5.61	0.00	1103.72	
5.62	0.00	1110.61	
5.63	0.00	1117.52	
5.64	0.00	1124.45	
5.65	0.00	1131.41	
5.66	0.00	1138.40	
5.67	0.00	1145.40	
5.68	0.00	1152.43	
5.69	0.00	1159.49	
5.70	0.00	1166.57	
5.71	0.00	1173.67	
5.72	0.00	1180.80	
5.73	0.00	1187.95	
5.74	0.00	1195.12	
5.75	0.00	1202.32	
5.76	0.00	1209.54	
5.77	0.00	1216.79	
5.78	0.00	1224.06	
5.79	0.00	1231.35	
5.80	0.00	1238.67	
5.81	0.00	1246.01	
5.82	0.00	1253.38	
