Site_Index	Unit	Begin_Interval	End_Interval	Description
1606	ROAD FILL	0	4	clay, pebbles, sand, brown
1606	CLAY	4	10	silty, sandy, pebbly, dusky yellow to moderate yellowish brown, moderately cohesive, plastic, oxidized, (TILL)
1606	CLAY	10	15	very silty, dusky yellow to dark yellowish brown, very cohesive, plastic, oxidized, (fluvial sediment)
1606	CLAY	15	21	silty, sandy, pebbly, gravelly, moderate yellowish brown, cohesive, slightly plastic, oxidized, (TILL)
1606	CLAY	21	47	very silty, sandy, pebbly, olive gray to medium dark gray, cohesive, plastic, (TILL)
1606	SHALE	47	60	siliceous, grayish black, fractured, noncalcareous, bentonitic, brittle (PIERRE formation)
3379	TOPSOIL	0	1	
3379	SAND	1	21	gravelly, fine sand to medium gravel, yellowish brown, oxidized
3379	CLAY	21	49	very silty, very sandy, poorly cohesive, easy drilling, yellowish brown, oxidized
3379	CLAY	49	80	very silty, sandy, moderately cohesive, olive gray to gray
3379	GRAVEL	80	96	sandy, 80% shale, poorly sorted, coarse sand to coarse gravel, mostly a medium gravel, 20% carbonates, subangular to angular
3379	POOR RETURN	96	110	easy drilling, possibly fine sand and silt, taking water
3379	CLAY	110	183	silty,sandy, poor cohesion, poor compaction, some fine sand to very fine sand, taking water and mixed 1 bag of mud
3379	SAND	183	185	very fine to medium, mostly fine, well sorted
3379	CLAY	185	204	silty, very sandy, moderately compact, poor cohesion, olive gray, some small sand layers, till
3379	GRAVEL	204	240	sandy, coarse sand to medium gravel, mostly fine gravel, 20% shale, 80% silicates and carbonates, well rounded and well sorted
3379	CLAY	240	280	olive gray to black, very silty, sandy, layers of shale gravel,
3379	CLAY	280	291	black to dark gray, hard, well compacted, cohesive
3379	SHALE	291	300	hard, black mixed with clay, hard drilling, well compacted, very cohesive, 
3380	TOPSOIL	0	1	
3380	SAND	1	22	fine to coarse, mostly medium, moderately sorted, brownish yellow, oxidized
3380	SAND	22	86	fine sand to fine gravel, mostly coarse sane, well rounded, 20% gravel, shale, fair sorting
3380	GRAVEL	86	106	shale gravel, ranges from coarse sand to medium gravel, mostly a medium gravel, poorly sorted, 60% shale, grades down to coarse gravel towards 106 feet
3380	SAND	106	133	very fine to medium, mostly fine, well sorted
3380	SAND	133	149	fine to medium, mostly medium, poorly sorted
3380	SAND	149	157	fine to coarse gravel, mostly coarse sand, moderately poor sorting
3380	GRAVEL	157	163	fine to coarse gravel, 90% shale, mostly medium gravel, well rounded, well to moderately sorted
3380	SAND	163	182	gravelly (15%), fine sand to coarse gravel, mostly a coarse sand, poor sorting, gravel well rounded
3380	CLAY	182	189	silty, cohesive, moderately compacted, olive gray
3380	SAND	189	200	very fine, lignite, interbedded with olive gray clays
3380	GRAVEL	200	279	coarse sand to coarse gravel, mostly a medium gravel, well rounded, moderately sorted, 90% shale, 10% carbonates and silicates
3380	CLAY	279	280	very cohesive, very compact, olive gray to dark gray
3380	CLAY	280	300	black, very cohesive, very compact, hard drilling , Pierre formation
3382	TOPSOIL	0	1	
3382	SAND	1	10	fine sand to coarse gravel, mostly medium sand, poorly sorted, yellowish brown, oxidized
3382	CLAY	10	26	silty, sandy, pebbles, poor cohesion, poorly compact, yellowish brown, till
3382	SAND	26	94	very fine to medium, mostly a medium sand, well sorted, at 80 feet some lignite
3382	GRAVEL	94	122	sandy, 60% gravel, gravel fine to coarse, mostly a medium sand, 50% shale, 10% carbonates, 40% igneous and metemorphic, moderately to poorly sorted, well rounded
3382	CLAY	122	176	silty, sandy, moderately compact, good cohesion,olive gray, sand layer at 156 feet
3382	SAND	176	191	very fine to medium, mostly  fine, with lignite and shale gravel, interbedded with clay, poor recovery on clay layers
