Site_Index	Location	USGS_ID	County	Basin	Aquifer	Purpose	Casing	Diameter	Measuring_Point_Elev_NVGD29	Land_Surface_Elev_NVGD29	Measuring_Point_Elev_NAVD88	Land_Surface_Elev_NAVD88	Elev_Type	Date_Drilled	Total_Depth	Bedrock_Depth	Top_Screen	Bottom_Screen	Longitude	Latitude	Coord_Type
6326	14605904DCC		Griggs	Sheyenne River	Undefined	Domestic Well	Unknown	36	N/A	N/A	N/A	N/A	 	1948-01-01	0	0	0	40	-98.186509	47.486905	Calculated
19028	14605917BBB		Griggs	Sheyenne River	No Obs Well Installed	Test Hole	None	0	N/A	N/A	N/A	N/A	DEM - Lidar	1970-10-23	60	33	0	0	-98.218727	47.470601	Calculated
6327	14605922BCC		Griggs	Sheyenne River	Undefined	Domestic Well	Unknown	0	N/A	N/A	N/A	N/A	 		0	0	0	28	-98.175901	47.450638	Calculated
6328	14606001BCC		Griggs	Sheyenne River	Spiritwood	Domestic Well	Unknown	36	N/A	N/A	N/A	N/A	 	1960-01-01	0	0	0	22	-98.263915	47.494048	Calculated
19769	14606005CBD		Griggs	Sheyenne River	Spiritwood	Irrigation Well	Steel	16	1475	1475	1476.15	1476.15	Topographic Map	1993-04-30	253	0	201	241	-98.348053	47.491322	Digitized - Heads Up
6329	14606008BBB1		Griggs	Sheyenne River	Spiritwood	Observation Well	ABS	1.25	1466.95	1466.48	1468.1000000000001	1467.63	Survey 0.01 ft	1972-05-02	330	317	276	282	-98.349293	47.484957	Calculated
6330	14606008BBB2		Griggs	Sheyenne River	Spiritwood	Observation Well	ABS	1.25	1467.25	1466.48	1468.4	1467.63	Survey 0.01 ft	1972-05-02	182	0	176	182	-98.349293	47.484957	Calculated
6331	14606008CCD		Griggs	Sheyenne River	Spiritwood	Observation Well	ABS	1.25	1463.29	1461.4299999999998	1464.44	1462.58	Global Position Survey	1970-10-22	300	287	197	203	-98.346611	47.472266	Calculated
6332	14606009CCC		Griggs	Sheyenne River	Spiritwood	Observation Well	ABS	1.25	1460.75	1459.67	1461.89	1460.8100000000002	Survey 0.01 ft	1972-04-27	280	257	222	228	-98.327291	47.471501	Digitized - Heads Up
6333	14606010DDD		Griggs	Sheyenne River	Spiritwood	Observation Well	ABS	1.25	1461.45	1459.47	1462.5800000000002	1460.6000000000001	Survey 0.01 ft	1972-09-27	140	123	97	103	-98.287926	47.472278	Calculated
19029	14606013AAA		Griggs	Sheyenne River	No Obs Well Installed	Test Hole	None	0	N/A	N/A	N/A	N/A	DEM - Lidar	1971-08-31	260	240	0	0	-98.244982	47.470501	Calculated
34236	14606013CCD		Griggs	Sheyenne River	No Obs Well Installed	Test Hole	None	0	N/A	N/A	N/A	N/A		2007-09-13	220	0	0	0	-98.261067	47.45778	Calculated
6334	14606014AAA		Griggs	Sheyenne River	Spiritwood	Observation Well	ABS	1.25	1456.2	1453.95	1457.3400000000001	1455.0900000000001	Survey 0.01 ft	1970-10-22	260	248	127	130	-98.265245	47.471171	Digitized - Heads Up
6335	14606016AAA		Griggs	Sheyenne River	Spiritwood	Observation Well	ABS	1.25	1457.8	1455.77	1458.94	1456.91	Survey 0.01 ft	1970-10-22	240	228	177	180	-98.308605	47.4707	Digitized - Heads Up
19764	14606016CCD		Griggs	Sheyenne River	Spiritwood	Irrigation Well	Steel	12	1450	1450	1451.14	1451.14	Topographic Map	1990-10-13	220	0	187	207	-98.325257	47.45782	Calculated
6336	14606017ABB		Griggs	Sheyenne River	Spiritwood	Observation Well	ABS	1.25	1461.74	1459.7	1462.88	1460.8400000000001	Survey 0.01 ft	1972-05-03	310	295	177	183	-98.338619	47.470436	Calculated
6337	14606017ABC1		Griggs	Sheyenne River	Spiritwood	Observation Well - Destroyed	PVC	1.25	1455	1455	1456.14	1456.14	Topographic Map	1972-05-04	320	297	197	203	-98.338616	47.468631	Calculated
6338	14606017ABC2		Griggs	Sheyenne River	Spiritwood	Observation Well - Destroyed	PVC	1.25	1455	1455	1456.14	1456.14	Topographic Map	1972-05-04	320	294	196	202	-98.338616	47.468631	Calculated
6339	14606017ABC3		Griggs	Sheyenne River	Spiritwood	Observation Well		1	1455	1455	1456.14	1456.14	Topographic Map	1972-05-04	320	296	277	283	-98.338616	47.468631	Calculated
6340	14606017ABC4		Griggs	Sheyenne River	No Obs Well Installed	Test Hole	None	0	N/A	N/A	N/A	N/A	 	1972-05-05	240	0	0	0	-98.338616	47.468631	Calculated
6341	14606017ABC5		Griggs	Sheyenne River	Spiritwood	Production Well - Plugged	Unknown	12	1455	1454.9	1456.14	1456.0400000000002	Survey 0.1 ft	1972-07-01	245	0	198	244	-98.338616	47.468631	Calculated
19030	14606018BBA		Griggs	Sheyenne River	No Obs Well Installed	Test Hole	None	0	N/A	N/A	N/A	N/A		1972-09-27	260	234	0	0	-98.367675	47.470488	Calculated
19031	14606018BBB		Griggs	Sheyenne River	No Obs Well Installed	Test Hole	None	0	-1.15	1456.85	0	1458	Derived from NED	1972-09-27	60	0	0	0	-98.370315	47.47049	Calculated
6342	14606018CCA		Griggs	Sheyenne River	Spiritwood	Test Well		2.5	1465	1465	1466.15	1466.15	Topographic Map	1963-10-01	220	215	200	210	-98.367613	47.459633	Calculated
6343	14606019DBD		Griggs	Sheyenne River	Spiritwood	Irrigation Well	Steel	12	1455.5	1455	1456.65	1456.15	Topographic Map	1973-09-15	200	0	171	196	-98.357093	47.446948	Calculated
