parm,layers,change,type,lbound,ubound,ult_lbound,ult_ubound,initial_value,notes
k_pp,all,factor,pilotpoint,5.00E-01,5,1.00E-06,350,1,
k_cn,all,factor,constant,5.00E-01,5,1.00E-06,350,1,
k_grd,all,factor,grid,5.00E-01,5,1.00E-06,350,1,
aniso_pp,all,factor,pilotpoint,5.00E-01,5,1.00E-07,10,1,
aniso_cn,all,factor ,constant,5.00E-01,10,1.00E-07,10,1,
ss_cn,all,factor,constant,1.00E-02,10,1.00E-07,1.00E-03,1,
ss_pp,all,factor,pilotpoint,1.00E-02,10,1.00E-07,1.00E-03,1,
sy_pp,all,factor,pilotpoint,5.00E-01,2,1.00E-02,5.00E-01,1,
sy_cn,all,factor,constant,5.00E-01,2,1.00E-02,5.00E-01,1,
rch_pp,0,factor,pilotpoint,5.00E-01,2,1.00E-07,5.00E-02,1,
rch_cn,0,factor,constant,5.00E-01,2,1.00E-07,5.00E-02,1,
rcht_cn,0,factor,constant,5.00E-01,2,1.00E-07,5.00E-02,1,
riv_cn,0,factor,constant,5.00E-01,100,1.00E-07,1.00E+05,1,
riv_grd,0,factor,constant,5.00E-01,10,1.00E-07,1.00E+05,1,
drn_cn,0,factor,constant,5.00E-01,100,1.00E-07,1.00E+05,1,
drn_grd,0,factor,constant,5.00E-01,10,1.00E-07,1.00E+05,1,
