id,obsprefix,obstype,group,node,layer,row,col,k,i,j,idom,aquifer,well_depth,gwe_ft,sp,start_dt,end_dt,x_2265,y_2265,geometry
1,ssh_id:1_k:4_i:124_j:47,ss_head,sshead_wbv,9844,5,125,48,4,124,47,1,wbv,181.0,959.2,1,1969-12-31,1970-01-01,2954016.729,-227127.2688,POINT (2954016.729 -227127.2688)
2,ssh_id:2_k:4_i:123_j:47,ss_head,sshead_wbv,9765,5,124,48,4,123,47,1,wbv,175.0,956.0,1,1969-12-31,1970-01-01,2953973.326,-226505.1623,POINT (2953973.326 -226505.1623)
3,ssh_id:3_k:4_i:120_j:46,ss_head,sshead_wbv,9527,5,121,47,4,120,46,1,wbv,261.0,958.3,1,1969-12-31,1970-01-01,2951984.032,-225412.859,POINT (2951984.032 -225412.859)
4,ssh_id:4_k:4_i:120_j:43,ss_head,sshead_wbv,9524,5,121,44,4,120,43,1,wbv,255.0,958.7,1,1969-12-31,1970-01-01,2950501.104,-226780.0465,POINT (2950501.104 -226780.0465)
5,ssh_id:5_k:4_i:119_j:46,ss_head,sshead_wbv,9448,5,120,47,4,119,46,1,wbv,251.0,958.0,1,1969-12-31,1970-01-01,2951434.264,-224906.4933,POINT (2951434.264 -224906.4933)
6,ssh_id:6_k:4_i:118_j:46,ss_head,sshead_wbv,9369,5,119,47,4,118,46,1,wbv,260.0,957.8,1,1969-12-31,1970-01-01,2951210.016,-224602.6739,POINT (2951210.016 -224602.6739)
7,ssh_id:7_k:4_i:115_j:43,ss_head,sshead_wbv,9129,5,116,44,4,115,43,1,wbv,244.0,956.8,1,1969-12-31,1970-01-01,2948425.005,-224118.0095,POINT (2948425.005 -224118.0095)
8,ssh_id:8_k:4_i:115_j:46,ss_head,sshead_wbv,9132,5,116,47,4,115,46,1,wbv,264.0,957.4,1,1969-12-31,1970-01-01,2949857.296,-223452.5002,POINT (2949857.296 -223452.5002)
9,ssh_id:9_k:4_i:117_j:47,ss_head,sshead_wbv,9291,5,118,48,4,117,47,1,wbv,195.0,957.4,1,1969-12-31,1970-01-01,2951188.315,-223351.2271,POINT (2951188.315 -223351.2271)
10,ssh_id:10_k:4_i:112_j:46,ss_head,sshead_wbv,8895,5,113,47,4,112,46,1,wbv,185.0,956.8,1,1969-12-31,1970-01-01,2948381.602,-221846.5975,POINT (2948381.602 -221846.5975)
