site_index,date_meas,gwe_navd88,dtw_ft,mp_elev_navd88,loc_id,aquifer,purpose,elev_type,total_depth,top_screen_depth,bottom_screen_depth,x_2265,y_2265,lse_navd88
434,9/30/1964,950.82,9.1,959.92,13204810BCC,Undefined,Observation Well - Plugged,Topographic Map,242,0,100,2930135.955,-245474.8832,958.82
454,9/19/1974,947.58,11.46,959.04,13304718ABC,Wahpeton Buried Valley,Industrial Well,Topographic Map,245,145,235,2943082.835,-217177.6815,957.54
455,11/18/1969,956.22,7.03,963.25,13304718ADA,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,240,219,225,2945331.694,-217803.3937,960.95
456,25525,951.99,10.43,962.42,13304719DAA,Wahpeton Shallow Sand,Observation Well - Destroyed,Survey 0.1 ft,240,46,49,2945727.186,-224155.4024,961.02
457,31295,911.54,60.55,972.09,13304720AACCB1,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,280,268,273,2949689.652,-222251.2985,971.17
458,31295,911.45,61.54,972.99,13304720AACCB2,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,120,113,118,2949664.642,-222252.1957,971.22
459,31295,937.98,35.04,973.02,13304720AACCB3,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,60,42,57,2949664.642,-222252.1957,970.96
460,31296,913.97,57.77,971.74,13304720AAD1,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,210,195,200,2950851.157,-222192.9963,969.84
461,31296,913.93,58.1,972.03,13304720AAD2,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,135,129,134,2950826.165,-222194.2593,970.1
462,31296,938.76,33.38,972.14,13304720AAD3,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,60,54,59,2950826.165,-222194.2593,970.26
463,31512,916.375,60.885,977.26,13304720ABAC1,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,271,265,270,2949079.873,-221697.5881,974.83
464,31512,916.395,59.675,976.07,13304720ABAC2,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,125,118,123,2949081.945,-221733.6484,974.88
465,31512,938.165,38.595,976.76,13304720ABAC4,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,50,38,48,2949081.945,-221733.6484,974.81
466,25525,957.82,9.45,967.27,13304720ABB,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,280,178,184,2948324.11,-221339.7157,965.44
467,31512,916.06,61.96,978.02,13304720ABBA1,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,277,266,271,2948715.437,-221496.7899,976.18
468,31512,916.12,62.39,978.51,13304720ABBA2,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,125,118,123,2948713.384,-221461.0939,976.38
469,31512,938.92,39.03,977.95,13304720ABBA3,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,55,43,53,2948713.384,-221461.0939,976.89
471,31512,938.22,38.18,976.4,13304720ABCA1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,80,50,60,2948733.814,-221861.1642,975.48
472,31512,916.265,60.225,976.49,13304720ABCA2,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,124,118,122,2948735.922,-221897.9532,975.27
473,31512,916.24,60.26,976.5,13304720ABCA3,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,280,273,278,2948740.93,-222007.291,975.58
474,32597,921.7,63.59,985.29,13304720ABCA4,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,0,64,74,2948735.922,-221897.9532,983.44
475,32597,922.01,63.57,985.58,13304720ABCBA1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,0,58,63,2948538.978,-222017.4747,983.61
476,32597,923.95,61.36,985.31,13304720ABCBB1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,0,60,65,2948286.754,-222029.46,983.27
478,31693,916.179,58.041,974.22,13304720ABDAC1,Wahpeton Buried Valley,Industrial Well,Survey 0.01 ft,302,175,275,2949248.115,-222017.5057,972.98
479,31672,910.87,64.15,975.02,13304720ABDA1,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,272,267,272,2949423.255,-221972.5029,972.52
480,31652,938.01,37.65,975.66,13304720ABDBA1,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,62,55,60,2949112.956,-221841.6743,973.06
481,31652,938.58,37.21,975.79,13304720ABDBA2,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,120,114,119,2949112.956,-221841.6743,973.02
482,31685,938.5,36.56,975.06,13304720ABDBA3,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,121,115,120,2949141.138,-221913.6781,972.52
484,31652,935.51,40,975.51,13304720ABDBD1,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,122,114,119,2949176.35,-222094.9176,973.08
485,31672,938.34,37.24,975.58,13304720ABDBD2,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,60,53,58,2949174.277,-222058.8573,972.96
486,31344,937.51,38.27,975.78,13304720ABDB1,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,124,115,120,2949169.23,-221948.7909,972.83
