Hole ID,TOP,BOTTOM,LITH,Description,Lith_2,Grouped,Aquifer_Units,aquifer,start_x,start_y,start_z,end_z,xy_id,Top_Screen_Elev,Bottom_Screen_Elev,Site_Index,Land_Surface_Elev_NVGD29
105.0,0.0,1.0,TOPSOIL,no description,Soil,Clay,,Soil,2906014.788,-160636.6342,935.0410385,934.0410385,2906014.788_-160636.634,,,,
105.0,1.0,24.0,CLAY,"yellow brown, slightly silty, iron stained, oxidized, (lake clays)",Clay,Clay,,Clay,2906014.788,-160636.6342,934.0410385,911.0410385,2906014.788_-160636.634,,,,
105.0,24.0,44.0,CLAY,"olive gray, slighlty silty, plastic, sticky, cohesive, (lake clays)",Clay,Clay,,Clay,2906014.788,-160636.6342,911.0410385,891.0410385,2906014.788_-160636.634,,,,
105.0,44.0,53.0,CLAY,"olive gray, silty sandy with pebbles, rocky, poorly sorted, occasional lens of sand and gravel (till)",Clay,Clay,,Clay,2906014.788,-160636.6342,891.0410385,882.0410385,2906014.788_-160636.634,,,,
105.0,53.0,55.0,GRAVEL,"with medium to coarse sand, predominantly shale and igneous, well rounded to angular, poorly sorted",Gravel,Aquifer,,Gravel,2906014.788,-160636.6342,882.0410385,880.0410385,2906014.788_-160636.634,,,,
105.0,55.0,102.0,TILL,"as above, rocky",Till,Clay,,Till,2906014.788,-160636.6342,880.0410385,833.0410385,2906014.788_-160636.634,,,,
105.0,102.0,105.0,CLAY,"olive gray, silty, drills smooth",Clay,Clay,,Clay,2906014.788,-160636.6342,833.0410385,830.0410385,2906014.788_-160636.634,,,,
105.0,105.0,113.0,TILL,as above,Till,Clay,,Till,2906014.788,-160636.6342,830.0410385,822.0410385,2906014.788_-160636.634,,,,
105.0,113.0,121.0,CLAY,"olive gray, silty, drills smooth",Clay,Clay,,Clay,2906014.788,-160636.6342,822.0410385,814.0410385,2906014.788_-160636.634,,,,
105.0,121.0,123.0,SAND,"medium to very coarse, with gravel, well rounded to subrounded, poorly sorted till, as above",Sand,Aquifer,,Sand,2906014.788,-160636.6342,814.0410385,812.0410385,2906014.788_-160636.634,,,,
105.0,123.0,154.0,TILL,as above,Till,Clay,,Till,2906014.788,-160636.6342,812.0410385,781.0410385,2906014.788_-160636.634,,,,
105.0,154.0,198.0,CLAY,"black, greasy, carbonaceous, drills smooth and slow, occasional choppy drilling, shale or sandstone lenses?  flakes of bentonite in clays, occasional shale and sandstone chunk",Clay,Clay,,Clay,2906014.788,-160636.6342,781.0410385,737.0410385,2906014.788_-160636.634,,,,
105.0,198.0,200.0,SAND,"fine to coarse, washing badly, rain of returns, well rounded, good sorting",Sand,Aquifer,,Sand,2906014.788,-160636.6342,737.0410385,735.0410385,2906014.788_-160636.634,,,,
105.0,200.0,221.0,CLAY,"black, very poor returns, mostly washing sand from above, layer of fine sand",Clay,Clay,,Clay,2906014.788,-160636.6342,735.0410385,714.0410385,2906014.788_-160636.634,,,,
105.0,221.0,240.0,CLAY,"black, very poor returns, drills slow and smooth",Clay,Clay,,Clay,2906014.788,-160636.6342,714.0410385,695.0410385,2906014.788_-160636.634,,,,
408.0,0.0,2.0,TOPSOIL,"pebbly loam, black",Soil,Clay,,Soil,2951115.184,-229378.5588,968.1571833,966.1571833,2951115.184_-229378.559,,,,
408.0,2.0,6.0,CLAY,"silty with sand grains and pebbles, yellowish gray, moderately soft, cohesive, moderately plastic, oxidized (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,966.1571833,962.1571833,2951115.184_-229378.559,,,,
408.0,6.0,16.0,CLAY,"silty and sandy with pebbles and thin lenses of sand and fine gravel, yellowish gray to moderately olive brown, iron-stained, soft, moderately cohesive, slightly plastic, oxidized (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,962.1571833,952.1571833,2951115.184_-229378.559,,,,
408.0,16.0,38.0,CLAY,"silty and sandy with pebbles, olive gray, soft, cohesive, moderately plastic (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,952.1571833,930.1571833,2951115.184_-229378.559,,,,
408.0,38.0,54.0,GRAVEL,"fine and medium with a few cobbles, moderately well-sorted, generally subrounded, predominantly limestone-dolomite with granitics and shale, clean",Gravel,Aquifer,,Gravel,2951115.184,-229378.5588,930.1571833,914.1571833,2951115.184_-229378.559,,,,
408.0,54.0,64.0,SILT,"and very fine sand, light gray, soft, slightly cohesive, nonplastic, calcareous, predominantly quartz",Silt,Clay,,Silt,2951115.184,-229378.5588,914.1571833,904.1571833,2951115.184_-229378.559,,,,
408.0,64.0,78.0,SAND,"fine and medium, sorted, subrounded, loose, predominantly quartz with limestone-dolomite and shale",Sand,Aquifer,,Sand,2951115.184,-229378.5588,904.1571833,890.1571833,2951115.184_-229378.559,,,,
408.0,78.0,82.0,CLAY,"olive gray, soft, smooth, cohesive, plastic, sticky",Clay,Clay,,Clay,2951115.184,-229378.5588,890.1571833,886.1571833,2951115.184_-229378.559,,,,
408.0,82.0,93.0,SILT,"clayey, light gray to olive gray, laminated, soft, moderately cohesive, slightly to moderately plastic, calcareous",Silt,Clay,,Silt,2951115.184,-229378.5588,886.1571833,875.1571833,2951115.184_-229378.559,,,,
408.0,93.0,125.0,CLAY,"silty to sandy with pebbles, olive gray, soft to moderately soft, cohesive, slightly plastic to slightly brittle, occasional cobbles (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,875.1571833,843.1571833,2951115.184_-229378.559,,,,
408.0,125.0,127.0,BOULDERS,granite,Boulders,Bedrock,,Boulders,2951115.184,-229378.5588,843.1571833,841.1571833,2951115.184_-229378.559,,,,
408.0,127.0,133.0,CLAY,"olive gray, soft, smooth, cohesive, plastic, sticky",Clay,Clay,,Clay,2951115.184,-229378.5588,841.1571833,835.1571833,2951115.184_-229378.559,,,,
408.0,133.0,140.0,SAND,"medium, light olive gray, well sorted, subrounded, clean",Sand,Aquifer,,Sand,2951115.184,-229378.5588,835.1571833,828.1571833,2951115.184_-229378.559,,,,
408.0,140.0,143.0,CLAY,"silty, light olive gray, soft, moderately cohesive, moderately plastic",Clay,Clay,,Clay,2951115.184,-229378.5588,828.1571833,825.1571833,2951115.184_-229378.559,,,,
408.0,143.0,156.0,SAND,"fine and medium with some coarse, interbedded, light gray, subrounded, predominantly quartz with limestone-dolomite and shale, drills easy, taking a little water",Sand,Aquifer,,Sand,2951115.184,-229378.5588,825.1571833,812.1571833,2951115.184_-229378.559,,,,
408.0,156.0,195.0,CLAY,"silty to sandy with pebbles and occasional cobbles, moderately soft to slightly hard, tightly compacted, moderately brittle (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,812.1571833,773.1571833,2951115.184_-229378.559,,,,
408.0,195.0,216.0,CLAY,"as above, interbedded with lenses or blocks of dark gray and brownish black, tight, waxy, smooth clay (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,773.1571833,752.1571833,2951115.184_-229378.559,,,,
408.0,216.0,241.0,CLAY,"as above, without clay lenses (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,752.1571833,727.1571833,2951115.184_-229378.559,,,,
408.0,241.0,250.0,SHALE,"black, slightly hard, smooth, tight, waxy, noncalareous",Shale,Bedrock,,Shale,2951115.184,-229378.5588,727.1571833,718.1571833,2951115.184_-229378.559,,,,
434.0,0.0,2.0,TOPSOIL,"silty clay, black",Soil,Clay,,Soil,2930137.712,-245477.5183,957.93204,955.93204,2930137.712_-245477.518,,,,
434.0,2.0,13.0,CLAY,"moderate olive-brown, soft, plastic, cohesive, calcareous, oxidized; boulder at 12 feet",Clay,Clay,,Clay,2930137.712,-245477.5183,955.93204,944.93204,2930137.712_-245477.518,,,,
434.0,13.0,25.0,TILL,"clay, silty to pebbly, moderate olive-brown, soft, plastic, cohesive, calcareous, oxidized; contains cobbles and boulders",Till,Clay,,Till,2930137.712,-245477.5183,944.93204,932.93204,2930137.712_-245477.518,,,,
434.0,25.0,47.0,TILL,"clay, silty to pebbly, olive-gray, soft, plastic, cohesive; contains cobbles and boulders",Till,Clay,,Till,2930137.712,-245477.5183,932.93204,910.93204,2930137.712_-245477.518,,,,
434.0,47.0,74.0,TILL,"clay, sandy, olive-gray, soft, slightly plastic, cohesive; interbedded sand and gravel",Till,Clay,,Till,2930137.712,-245477.5183,910.93204,883.93204,2930137.712_-245477.518,,,,
