xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2879271.512_-213737.348,1,Clay,,2879271.512,-213737.3484,989.1130949,803.1130949,,,bh_1,outside_grid,outside_grid
2879271.512_-213737.348,2,Aquifer,,2879271.512,-213737.3484,803.1130949,802.1130949,,,bh_1,outside_grid,outside_grid
2879271.512_-213737.348,3,Clay,,2879271.512,-213737.3484,802.1130949,637.1130949,,,bh_1,outside_grid,outside_grid
2879271.512_-213737.348,4,Bedrock,,2879271.512,-213737.3484,637.1130949,609.1130949,,,bh_1,outside_grid,outside_grid
2880872.772_-163954.357,1,Clay,,2880872.772,-163954.3572,952.4590454,924.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,2,Bedrock,,2880872.772,-163954.3572,934.4590454,727.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,3,Clay,,2880872.772,-163954.3572,924.4590454,793.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,4,Aquifer,,2880872.772,-163954.3572,793.4590454,784.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,5,Clay,,2880872.772,-163954.3572,784.4590454,780.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,6,Aquifer,,2880872.772,-163954.3572,780.4590454,770.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,7,Clay,,2880872.772,-163954.3572,770.4590454,769.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,8,Aquifer,,2880872.772,-163954.3572,769.4590454,716.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,9,Bedrock,,2880872.772,-163954.3572,723.4590454,721.4590454,,,bh_2,outside_grid,outside_grid
2880872.772_-163954.357,10,Clay,,2880872.772,-163954.3572,716.4590454,713.4590454,,,bh_2,outside_grid,outside_grid
2881856.236_-248371.624,1,Clay,,2881856.236,-248371.6238,976.3086854,829.3086854,,,bh_3,outside_grid,outside_grid
2881856.236_-248371.624,2,Aquifer,,2881856.236,-248371.6238,829.3086854,827.3086854,,,bh_3,outside_grid,outside_grid
2881856.236_-248371.624,3,Clay,,2881856.236,-248371.6238,827.3086854,712.3086854,,,bh_3,outside_grid,outside_grid
2881856.236_-248371.624,4,Aquifer,,2881856.236,-248371.6238,712.3086854,696.3086854,,,bh_3,outside_grid,outside_grid
2881856.236_-248371.624,5,Clay,,2881856.236,-248371.6238,696.3086854,621.3086854,,,bh_3,outside_grid,outside_grid
2881856.236_-248371.624,6,Aquifer,,2881856.236,-248371.6238,621.3086854,579.3086854,,,bh_3,outside_grid,outside_grid
2881856.236_-248371.624,7,Clay,,2881856.236,-248371.6238,579.3086854,566.3086854,,,bh_3,outside_grid,outside_grid
2882614.936_-181658.343,1,Clay,,2882614.936,-181658.3428,955.9248173,874.9248173,,,bh_4,WSS,WSS
2882614.936_-181658.343,2,Aquifer,,2882614.936,-181658.3428,874.9248173,873.9248173,,,bh_4,WSS,WSS
2882614.936_-181658.343,3,Clay,,2882614.936,-181658.3428,873.9248173,825.9248173,,,bh_4,DC,DC
2882614.936_-181658.343,4,Aquifer,,2882614.936,-181658.3428,825.9248173,787.9248173,,,bh_4,DC,DC
2882614.936_-181658.343,5,Clay,,2882614.936,-181658.3428,787.9248173,619.9248173,,,bh_4,DC,DC
2882964.32_-250344.893,1,Clay,,2882964.32,-250344.8933,973.1130779,836.1130779,,,bh_5,outside_grid,outside_grid
2882964.32_-250344.893,2,Aquifer,,2882964.32,-250344.8933,836.1130779,835.1130779,,,bh_5,outside_grid,outside_grid
2882964.32_-250344.893,3,Clay,,2882964.32,-250344.8933,835.1130779,809.1130779,,,bh_5,outside_grid,outside_grid
2882964.32_-250344.893,4,Aquifer,,2882964.32,-250344.8933,809.1130779,806.1130779,,,bh_5,outside_grid,outside_grid
2882964.32_-250344.893,5,Clay,,2882964.32,-250344.8933,806.1130779,765.1130779,,,bh_5,outside_grid,outside_grid
2882964.32_-250344.893,6,Aquifer,,2882964.32,-250344.8933,765.1130779,756.1130779,,,bh_5,outside_grid,outside_grid
