use_year	pod_index	permit_number	pod	aquifer	permit_holder_name	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	crop_type1	crop_type2	reported_inches	total_use	comments
1976	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	112.7	0.0	0.0	0	0	0.0	0.0					0.0	
1976	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	112.0	0.0	0.0	0	0	0.0	0.0					0.0	
1976	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	112.0	0.0	0.0	0	0	0.0	0.0					0.0	
1977	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	227.3	0.0	0.0	0	0	0.0	0.0					0.0	
1977	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	835.0	0.0	0.0	0	0	0.0	0.0					0.0	
1977	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	57.7	0.0	0.0	0	0	0.0	0.0					0.0	
1978	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	688.1	0.0	0.0	0	0	0.0	0.0					0.0	
1978	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1978	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1979	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	407.9	0.0	0.0	0	0	0.0	0.0					0.0	
1979	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	815.2	0.0	0.0	0	0	0.0	0.0					0.0	
1979	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
