use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
1979	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						17107000.0	17655000.0	20580000.0	39891000.0	21652000.0	20750000.0	22148000.0	21667000.0	23704000.0	23421000.0	18155000.0	19089000.0	265819000.0
1980	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						19569000.0	19528000.0	21732000.0	25234000.0	30977000.0	18656000.0	25965000.0	18642000.0	20517000.0	21986000.0	18374000.0	18901000.0	260081000.0
1981	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						28548000.0	26761000.0	28865000.0	28330000.0	26810000.0	25697000.0	29872000.0	28392000.0	63832000.0	28276000.0	25903000.0	25470000.0	366756000.0
1982	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						29002000.0	26461000.0	28984000.0	28344000.0	29834000.0	34721000.0	27381000.0	30921000.0	26591000.0	80244000.0	24208000.0	23707000.0	390398000.0
1983	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						23937000.0	22273000.0	24381000.0	25616000.0	27475000.0	30714000.0	29775000.0	35545000.0	67442000.0	26003000.0	23765000.0	33155000.0	370081000.0
1984	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						25854000.0	23798000.0	45765000.0	25593000.0	27974000.0	22224000.0	29173000.0	27686000.0	28950000.0	51424000.0	24230000.0	25335000.0	358006000.0
1985	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						28990000.0	27860000.0	29380000.0	29400000.0	30777000.0	29600000.0	36200000.0	30700000.0	29860000.0	30240000.0	27930000.0	28760000.0	359697000.0
1986	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						31810000.0	28983000.0	31619000.0	31060000.0	32111000.0	35100000.0	33083000.0	31495000.0	31765000.0	31260000.0	29248000.0	29539000.0	377073000.0
1987	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						27921000.0	25150000.0	27921000.0	27603000.0	34016000.0	36280000.0	30764000.0	32882000.0	32092000.0	32561000.0	29909000.0	29241000.0	366340000.0
1988	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						29091000.0	27948000.0	29523000.0	31715000.0	32567000.0	39473000.0	36210000.0	30057000.0	29708000.0	30423000.0	27813000.0	29394000.0	373922000.0
1989	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						30618000.0	27225000.0	29592000.0	30333000.0	32541000.0	33117000.0	38035000.0	36460000.0	29511000.0	31162000.0	27752000.0	29457000.0	375803000.0
1990	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						29737000.0	27313000.0	29518000.0	29928000.0	34316000.0	33044000.0	35368000.0	34199000.0	32499000.0	31963000.0	28761000.0	29728000.0	376374000.0
1991	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						29431000.0	26939000.0	29643000.0	28636000.0	29750000.0	29700000.0	30069000.0	31240000.0	30232000.0	29537000.0	28955000.0	31240000.0	355372000.0
1992	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						28647000.0	27112000.0	29329000.0	27969000.0	33391000.0	29337000.0	30981000.0	29620000.0	30574000.0	30503000.0	26682000.0	27289000.0	351434000.0
1993	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						28946000.0	26050000.0	29798000.0	29643000.0	32208000.0	30984000.0	30373000.0	32995000.0	34165000.0	31886000.0	31273000.0	30651000.0	368972000.0
1994	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						30850000.0	27790000.0	31556000.0	30329000.0	33285000.0	30384000.0	23261000.0	25867000.0	23483000.0	21941000.0	18824000.0	29201000.0	326771000.0
1995	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						30115000.0	27057000.0	30072000.0	31182000.0	31379000.0	32668000.0	20501000.0	29848000.0	31967000.0	32090000.0	30583000.0	30055000.0	357517000.0
1996	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						29635000.0	33210000.0	30904000.0	30729000.0	33006000.0	31952000.0	25741000.0	23069000.0	31996000.0	32697000.0	29724000.0	29925000.0	362588000.0
1997	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						25963000.0	23147000.0	24567000.0	26704000.0	27353000.0	33355000.0	29362000.0	31684000.0	30767000.0	28858000.0	25383000.0	25583000.0	332726000.0
1998	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						18085000.0	19390000.0	20980000.0	21704000.0	23584000.0	24384000.0	29827000.0	28497000.0	27767000.0	24025000.0	23612000.0	21144000.0	282999000.0
1999	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						21924000.0	20582000.0	21032000.0	22473000.0	20078000.0	20956000.0	22518000.0	22646000.0	22947000.0	22387000.0	23799000.0	23109000.0	264451000.0
2000	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						20868000.0	19816000.0	20939000.0	20754000.0	32354000.0	24054000.0	25619000.0	31275000.0	28171000.0	24545000.0	21345000.0	19674000.0	289414000.0
2001	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						19940000.0	17986000.0	20528000.0	26220000.0	29987000.0	30519000.0	38840000.0	43743000.0	34233000.0	31295000.0	28181000.0	21903000.0	343375000.0
2002	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						19218000.0	20720000.0	24677000.0	22419000.0	23596000.0	26568000.0	26259000.0	22650000.0	22661000.0	21569000.0	19961000.0	19488000.0	269786000.0
2003	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						20218000.0	18574000.0	19812000.0	19102000.0	19716000.0	18867000.0	23131000.0	29885000.0	24464000.0	23083000.0	19181000.0	19491000.0	255524000.0
2004	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						19654000.0	17928000.0	20291000.0	20412000.0	21748000.0	19885000.0	21908000.0	23232000.0	20206000.0	20393000.0	17713000.0	17482000.0	240852000.0
2005	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						24360000.0	24487000.0	17967000.0	18118000.0	18705000.0	17405000.0	22583000.0	19419000.0	19336000.0	24286000.0	24536000.0	25431000.0	256633000.0
2006	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	7146000.0	13742000.0	8480000.0	9703000.0	6402000.0	7992000.0	53465000.0
2007	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						8477000.0	4983000.0	5142000.0	6747000.0	7472000.0	7592000.0	9725000.0	9054000.0	7516000.0	7111000.0	5998000.0	5509000.0	85326000.0
2008	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						24571000.0	20233000.0	20653000.0	20766000.0	22086000.0	26411000.0	32802000.0	26110000.0	21532000.0	21246000.0	19058000.0	18356000.0	273824000.0
2009	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						18533000.0	16632000.0	19549000.0	19175000.0	21883000.0	21075000.0	23501000.0	22436000.0	21447000.0	20575000.0	18319000.0	19367000.0	242492000.0
2010	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						19166000.0	14969000.0	18062000.0	18899000.0	21193000.0	20673000.0	21653000.0	19881000.0	16972000.0	17353000.0	14935000.0	20446000.0	224202000.0
2012	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4198000.0	4230000.0	5112000.0	8056000.0	6540000.0	8522000.0	11634000.0	10912000.0	9668000.0	8509000.0	4700000.0	7026000.0	89107000.0
2013	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						6093000.0	5562000.0	5576000.0	4654000.0	6801000.0	7086000.0	9803000.0	8731000.0	5824000.0	7133000.0	5489000.0	4810000.0	77562000.0
2014	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						6776000.0	5453000.0	0.0	0.0	2954000.0	7978000.0	10752000.0	11292000.0	8796000.0	9378000.0	7673000.0	6376000.0	77428000.0
2015	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0		Well 2				7629000.0	6555000.0	4336000.0	4985000.0	7294000.0	8882000.0	10674000.0	11657000.0	4555000.0	10002000.0	7400000.0	6567000.0	90536000.0
2016	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0		Well 2				7122000.0	6809000.0	7942000.0	8601000.0	11115000.0	11871000.0	10464000.0	10584000.0	10198000.0	9289000.0	7877000.0	7982000.0	109854000.0
2017	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0		Well 2				7695000.0	6615000.0	8272000.0	8498000.0	9829000.0	3110000.0	4291000.0	9694000.0	9720000.0	8715000.0	7414000.0	7815000.0	91668000.0
