Permit,Well,Year,permit_holder_name,x_2266,y_2266,x_2265,y_2265,use_acft,days,cfd
4862,13304707CBB1,1999,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.3866798015043686,365,46.14732096857615
4862,13304707CBB1,2006,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.15139844080065223,365,18.068263236373728
4862,13304707CBB1,2007,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.9329417433121273,365,111.33956805116784
4862,13304707CBB1,2009,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,2.0622922746899657,365,246.11904516573946
4862,13304707CBB1,2011,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.8132551380845847,365,97.05587346565619
4862,13304707CBB1,2012,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,1.8863427353810995,366,224.50570916175053
4862,13304707CBB1,2013,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.7968877390791088,365,95.10254771037255
4862,13304707CBB1,2014,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.567744153002446,365,67.75598713640149
4862,13304707CBB1,2016,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.0,366,0.0
4862,13304707CBB1,2017,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.0,365,0.0
4862,13304707CBB1,2018,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.0,365,0.0
4862,13304707CBB1,2019,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.0,365,0.0
4862,13304707CBB1,2020,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.0,366,0.0
4862,13304707CBB1,2021,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.0,365,0.0
4862,13304707CBB1,2022,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.0,365,0.0
4862,13304707CBB1,2023,CARGILL INCORPORATED,2939783.0,272112.0,2940172.5129029583,-213720.09753989126,0.0,365,0.0
4862,13304707CDD1,1999,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.3866798015043686,365,46.14732096857615
4862,13304707CDD1,2006,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.15139844080065223,365,18.068263236373728
4862,13304707CDD1,2007,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.9329417433121273,365,111.33956805116784
4862,13304707CDD1,2009,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,2.0622922746899657,365,246.11904516573946
4862,13304707CDD1,2011,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.8132551380845847,365,97.05587346565619
4862,13304707CDD1,2012,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,1.8863427353810995,366,224.50570916175053
4862,13304707CDD1,2013,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.7968877390791088,365,95.10254771037255
4862,13304707CDD1,2014,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.567744153002446,365,67.75598713640149
4862,13304707CDD1,2016,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.0,366,0.0
4862,13304707CDD1,2017,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.0,365,0.0
4862,13304707CDD1,2018,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.0,365,0.0
4862,13304707CDD1,2019,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.0,365,0.0
4862,13304707CDD1,2020,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.0,366,0.0
4862,13304707CDD1,2021,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.0,365,0.0
4862,13304707CDD1,2022,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.0,365,0.0
4862,13304707CDD1,2023,CARGILL INCORPORATED,2941917.0,269930.0,2942309.5695643234,-215900.89279380668,0.0,365,0.0
4862,13304707CDD3,1999,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.3866798015043686,365,46.14732096857615
4862,13304707CDD3,2006,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.15139844080065223,365,18.068263236373728
4862,13304707CDD3,2007,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.9329417433121273,365,111.33956805116784
4862,13304707CDD3,2009,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,2.0622922746899657,365,246.11904516573946
4862,13304707CDD3,2011,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.8132551380845847,365,97.05587346565619
4862,13304707CDD3,2012,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,1.8863427353810995,366,224.50570916175053
4862,13304707CDD3,2013,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.7968877390791088,365,95.10254771037255
4862,13304707CDD3,2014,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.567744153002446,365,67.75598713640149
4862,13304707CDD3,2016,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.0,366,0.0
4862,13304707CDD3,2017,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.0,365,0.0
4862,13304707CDD3,2018,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.0,365,0.0
4862,13304707CDD3,2019,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.0,365,0.0
4862,13304707CDD3,2020,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.0,366,0.0
4862,13304707CDD3,2021,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.0,365,0.0
4862,13304707CDD3,2022,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.0,365,0.0
4862,13304707CDD3,2023,CARGILL INCORPORATED,2942179.0,269978.0,2942571.6317211976,-215852.61246234342,0.0,365,0.0
2115,13304718ABC,1976,FROEDTERT MALT CORP,2942688.0,268653.0,2943082.161858797,-217177.6630751477,0.0,366,0.0
2115,13304718ABC,1977,FROEDTERT MALT CORP,2942688.0,268653.0,2943082.161858797,-217177.6630751477,0.0,365,0.0
