PRISM Time Series Data
Location:  Lat: 46.2791   Lon: -96.6234   Elev: 961ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1970-01 - 2025-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Sep-28
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1970-01,0.21
1970-02,0.20
1970-03,1.38
1970-04,2.46
1970-05,2.36
1970-06,4.75
1970-07,1.34
1970-08,0.69
1970-09,1.76
1970-10,2.05
1970-11,1.48
1970-12,0.26
1971-01,0.83
1971-02,0.51
1971-03,0.41
1971-04,1.20
1971-05,1.56
1971-06,4.70
1971-07,4.54
1971-08,2.84
1971-09,2.37
1971-10,4.32
1971-11,1.04
1971-12,0.57
1972-01,0.75
1972-02,0.53
1972-03,0.91
1972-04,1.22
1972-05,6.27
1972-06,1.31
1972-07,4.72
1972-08,2.35
1972-09,0.65
1972-10,1.34
1972-11,0.12
1972-12,1.28
1973-01,0.12
1973-02,0.11
1973-03,1.40
1973-04,0.91
1973-05,2.68
1973-06,1.16
1973-07,3.92
1973-08,2.15
1973-09,4.59
1973-10,1.94
1973-11,0.83
1973-12,0.71
1974-01,0.12
1974-02,0.50
1974-03,0.41
1974-04,2.23
1974-05,4.52
1974-06,0.86
1974-07,2.53
1974-08,3.74
1974-09,0.45
1974-10,1.10
1974-11,1.27
1974-12,0.17
1975-01,1.90
1975-02,0.38
1975-03,1.43
1975-04,2.85
1975-05,1.87
1975-06,8.45
1975-07,2.71
1975-08,3.32
1975-09,1.36
1975-10,1.69
1975-11,0.64
1975-12,0.14
1976-01,0.86
1976-02,0.26
1976-03,0.78
1976-04,1.27
1976-05,0.48
1976-06,2.00
1976-07,0.66
1976-08,0.88
1976-09,0.73
1976-10,0.17
1976-11,0.17
1976-12,0.23
1977-01,0.43
1977-02,0.79
1977-03,2.10
1977-04,2.11
1977-05,3.43
1977-06,3.32
1977-07,3.98
1977-08,3.43
1977-09,5.35
1977-10,2.49
1977-11,3.17
1977-12,0.86
1978-01,0.16
1978-02,0.15
1978-03,0.32
1978-04,1.63
1978-05,2.59
1978-06,5.01
1978-07,2.12
1978-08,2.90
1978-09,2.02
1978-10,0.17
1978-11,0.77
1978-12,0.33
1979-01,0.86
1979-02,1.32
1979-03,1.47
1979-04,2.47
1979-05,2.00
1979-06,2.78
1979-07,4.66
1979-08,2.02
1979-09,0.27
1979-10,2.35
1979-11,0.67
1979-12,0.21
1980-01,0.83
1980-02,0.44
1980-03,0.48
1980-04,0.12
1980-05,0.71
1980-06,4.44
1980-07,2.39
1980-08,4.28
1980-09,2.22
1980-10,1.22
1980-11,0.16
1980-12,0.09
1981-01,0.14
1981-02,0.60
1981-03,1.04
1981-04,2.13
1981-05,1.25
1981-06,4.51
1981-07,4.62
1981-08,1.61
1981-09,0.65
1981-10,3.12
1981-11,0.49
1981-12,0.53
1982-01,0.46
1982-02,0.49
1982-03,1.02
1982-04,0.43
1982-05,2.13
1982-06,1.19
1982-07,3.24
1982-08,2.31
1982-09,2.52
1982-10,5.41
1982-11,0.76
1982-12,0.14
1983-01,0.22
1983-02,0.03
1983-03,1.68
1983-04,0.20
1983-05,1.28
1983-06,2.94
1983-07,4.71
1983-08,3.02
1983-09,1.56
1983-10,2.09
1983-11,0.82
1983-12,0.36
1984-01,0.36
1984-02,0.90
1984-03,1.01
1984-04,2.40
1984-05,0.97
1984-06,5.74
1984-07,1.22
1984-08,1.63
1984-09,1.55
1984-10,5.41
1984-11,0.03
1984-12,0.55
1985-01,0.12
1985-02,0.13
1985-03,1.02
1985-04,1.45
1985-05,6.47
1985-06,2.90
1985-07,1.74
1985-08,3.95
1985-09,2.37
1985-10,1.51
1985-11,1.10
1985-12,0.28
1986-01,0.30
1986-02,0.25
1986-03,0.52
1986-04,7.27
1986-05,2.98
1986-06,3.01
1986-07,4.76
1986-08,4.20
1986-09,6.97
1986-10,0.21
1986-11,0.80
1986-12,0.03
1987-01,0.21
1987-02,0.59
1987-03,1.23
1987-04,0.29
1987-05,3.13
1987-06,1.23
1987-07,3.93
1987-08,0.71
1987-09,2.34
1987-10,0.49
1987-11,0.45
1987-12,0.33
1988-01,0.30
1988-02,0.01
1988-03,0.57
1988-04,0.84
1988-05,2.89
1988-06,1.95
1988-07,4.23
1988-08,2.76
1988-09,4.08
1988-10,0.53
1988-11,1.02
1988-12,0.62
1989-01,0.90
1989-02,0.16
1989-03,1.25
1989-04,1.52
1989-05,3.22
1989-06,1.41
1989-07,2.62
1989-08,3.81
1989-09,2.41
1989-10,0.50
1989-11,0.41
1989-12,0.09
1990-01,0.18
1990-02,0.21
1990-03,1.49
1990-04,1.82
1990-05,1.09
1990-06,3.98
1990-07,1.35
1990-08,2.80
1990-09,2.32
1990-10,1.72
1990-11,0.01
1990-12,0.20
1991-01,0.18
1991-02,0.49
1991-03,1.05
1991-04,4.46
1991-05,2.69
1991-06,4.68
1991-07,1.54
1991-08,1.28
1991-09,5.70
1991-10,0.61
1991-11,0.24
1991-12,0.25
1992-01,0.44
1992-02,0.25
1992-03,0.71
1992-04,1.21
1992-05,2.54
1992-06,6.85
1992-07,2.38
1992-08,4.75
1992-09,2.38
1992-10,0.09
1992-11,1.90
1992-12,0.38
1993-01,0.73
1993-02,0.16
1993-03,0.94
