Site_Index	Location	USGS_ID	County	Basin	Aquifer	Purpose	Casing	Diameter	Measuring_Point_Elev_NVGD29	Land_Surface_Elev_NVGD29	Measuring_Point_Elev_NAVD88	Land_Surface_Elev_NAVD88	Elev_Type	Date_Drilled	Total_Depth	Bedrock_Depth	Top_Screen	Bottom_Screen	Longitude	Latitude	Coord_Type
27688	13304706BDCAA		Richland	MN-Red	Dakota Group	Domestic Well	Unknown	0	950	950	950.85	950.85	Topographic Map		352	332	0	0	-96.647625	46.363718	Digitized - Heads Up
27185	13304706BDCAAC		Richland	MN-Red	Undefined	Domestic Well		4	951	951	951.85	951.85	Topographic Map	1980-10-04	375	338	360	366	-96.650185	46.360439	Calculated
931	13304706CCA		Richland	Red River	Undefined	Domestic Well	Steel	2	951	951	951.85	951.85	Topographic Map		0	0	0	350	-96.651927	46.356619	Digitized - Heads Up
932	13304707ADD	462055096375901	Richland	Red River	Dakota Group	Observation Well - Plugged	PVC	1.25	957.5899999999999	955.29	958.43	956.13	Survey 0.1 ft	1970-05-21	348	190	318	324	-96.633426	46.347918	Digitized - Heads Up
21805	13304707ADD2		Richland	Red River	Dakota Group	Observation Well	PVC	2	957.9499999999999	956.25	958.79	957.09	Survey 0.01 ft	1997-09-24	340	190	318	323	-96.633024	46.34822	Digitized - Heads Up
1760	13304707BCB		Richland	Red River	No Obs Well Installed	Test Hole	None	0	0	952	0.84	952.84	Topographic Map	1995-09-26	243	0	0	0	-96.653028	46.349919	Digitized - Heads Up
1761	13304707BCC		Richland	Red River	No Obs Well Installed	Test Hole	None	0	0	952	0.84	952.84	Topographic Map	1995-09-21	243	0	0	0	-96.653025	46.348219	Digitized - Heads Up
1759	13304707CAC		Richland	Red River	Wahpeton Buried Valley	Observation Well	PVC	2	957.23	955.3	958.07	956.14	Survey 0.1 ft	1996-01-11	225	221	209	219	-96.647327	46.344819	Digitized - Heads Up
1648	13304707CBB1		Richland	Red River	Wahpeton Buried Valley	Industrial Well	Stainless Steel	12	954.5899999999999	952.7199999999999	955.43	953.56	Survey 0.01 ft	1996-08-14	293	283	253	283	-96.652444	46.347582	Digitized - Heads Up
1656	13304707CBB2		Richland	Red River	No Obs Well Installed	Test Hole	None	0	0	954	0.84	954.84	Topographic Map	1995-09-22	253	0	0	0	-96.653027	46.34652	Digitized - Heads Up
1463	13304707CBB3		Richland	Red River	Wahpeton Buried Valley	Observation Well	PVC	2	955.89	953.51	956.73	954.35	Global Position Survey	1996-01-12	287	275	242	272	-96.653027	46.34652	GPS - Surveyed
1474	13304707CBB4		Richland	Red River	Wahpeton Buried Valley	Observation Well - PRESENS	PVC	2	954.86	953	955.7	953.84	Global Position Survey	1996-06-04	175	0	162	167	-96.653027	46.34652	GPS - Surveyed
1479	13304707CBB5		Richland	Red River	Wahpeton Sand Plain	Observation Well	PVC	2	954.85	952.99	955.69	953.83	Global Position Survey	1996-06-04	86	0	71	76	-96.653027	46.34652	GPS - Surveyed
14148	13304707CBB6		Richland	Red River	Wahpeton Shallow Sand	Observation Well	PVC	2	954.9	953.28	955.74	954.12	Global Position Survey	1996-06-04	54	0	35	40	-96.653027	46.34652	GPS - Surveyed
3629	13304707CBC		Richland	Red River	No Obs Well Installed	Test Hole	None	0	0	954	0.84	954.84	Topographic Map	1995-09-20	243	0	0	0	-96.653028	46.344818	Digitized - Heads Up
19724	13304707CCB		Richland	Red River	No Obs Well Installed	Test Hole	None	0	0	954	0.84	954.84	Topographic Map	1995-09-27	227	0	0	0	-96.653025	46.34302	Digitized - Heads Up
19725	13304707CDA1		Richland	Red River	Wahpeton Sand Plain	Observation Well	PVC	2	958.5	956.8	959.34	957.64	Survey 0.1 ft	1994-11-30	98	0	75	93	-96.644426	46.343018	Digitized - Heads Up
19726	13304707CDA2		Richland	Red River	Wahpeton Shallow Sand	Observation Well	PVC	2	956.4	956.4	957.24	957.24	Survey 0.1 ft	1994-11-30	33	0	28	33	-96.644426	46.343018	Digitized - Heads Up
19727	13304707CDA3		Richland	Red River	Wahpeton Buried Valley	Observation Well	PVC	2	956.4	956.5	957.24	957.34	Survey 0.1 ft	1996-01-09	223	217	206	216	-96.644426	46.343018	Digitized - Heads Up
17786	13304707CDD		Richland	Wild Rice River	No Obs Well Installed	Test Hole	None	0	0	957	0.84	957.84	Topographic Map	1970-05-24	280	237	0	0	-96.644428	46.341319	Digitized - Heads Up
18384	13304707CDD1		Richland	Red River	Wahpeton Buried Valley	Industrial Well	Steel	8	958.54	957.25	959.38	958.09	Survey 0.01 ft	1995-08-07	215	0	182	202	-96.644428	46.341319	Digitized - Heads Up
