wkt_geom,id,gwe_ft,well_depth,aquifer,x_2266,y_2266,x_2265,y_2265
Point (2954016.72913632448762655 -227127.26876817693118937),1,959.2,181,wbv,2953607.97,258696.7247,2954016.729,-227127.2688
Point (2953973.3263585465028882 -226505.16228669547126628),2,956,175,wbv,2953565.21,259318.6062,2953973.326,-226505.1623
Point (2951984.03237706515938044 -225412.85904595471220091),3,958.3,261,wbv,2951577.868,260412.4332,2951984.032,-225412.859
Point (2950501.10413632448762655 -226780.04654595471220091),4,958.7,255,wbv,2950094.21,259047.3188,2950501.104,-226780.0465
Point (2951434.2638585465028882 -224906.49330521398223937),5,958,251,wbv,2951028.843,260919.1317,2951434.264,-224906.4933
Point (2951210.01617336133494973 -224602.67386076954426244),6,957.8,260,wbv,2950804.995,261223.0451,2951210.016,-224602.6739
Point (2948425.00459928764030337 -224118.00950891769025475),7,956.8,244,wbv,2948021.663,261710.2848,2948425.005,-224118.0095
Point (2949857.29626595415174961 -223452.50024965842021629),8,957.4,264,wbv,2949454.006,262374.0785,2949857.296,-223452.5002
Point (2951188.31478447280824184 -223351.22710151027422398),9,957.4,195,wbv,2950784.556,262473.9771,2951188.315,-223351.2271
Point (2948381.60182150965556502 -221846.59747188063920476),10,956.8,185,wbv,2947980.546,263980.7691,2948381.602,-221846.5975
Point (2945994.44904373167082667 -221427.03728669547126628),11,956.5,121,wbv,2945594.828,264402.5302,2945994.449,-221427.0373
Point (2952866.55552521347999573 -220544.51413854732527398),12,943.6,155,wbv,2952464.892,265277.8113,2952866.556,-220544.5141
Point (2950855.5601548426784575 -218663.72710151033243164),13,952.7,155,wbv,2950456.634,267159.8148,2950855.56,-218663.7271
Point (2945242.13422891683876514 -217940.34747188063920476),14,954.7,225,wbv,2944846.303,267888.4903,2945242.134,-217940.3475
Point (2936995.60645113792270422 -211560.13913854735437781),15,954,136,wbv,2936609.552,274274.1994,2936995.606,-211560.1391
Point (2926376.3934881747700274 -206409.6761755844054278),16,954,120,wbv,2925999.775,279432.9635,2926376.393,-206409.6762
Point (2923236.92589558288455009 -201418.35673114005476236),17,946,280,wbv,2922866.452,284425.3129,2923236.926,-201418.3567
Point (2921052.31941410107538104 -196007.47710151044884697),18,945,328,wbv,2920687.985,289836.1448,2921052.319,-196007.4771
Point (2918158.80089558195322752 -191247.63913854761631228),19,941,270,wbv,2917800.231,294596.9044,2918158.801,-191247.6391
Point (2918245.60645113885402679 -189135.37062002913444303),20,945,200,wbv,2917889.049,296708.2595,2918245.606,-189135.3706
Point (2914556.37034002738073468 -180006.31969410329475068),21,935,150,wbv,2914210.072,305837.3484,2914556.37,-180006.3197
Point (2906859.61108076851814985 -168938.6113607698935084),22,910,95,wsp,2906526.857,316908.2983,2906859.611,-168938.6114
Point (2917811.57867335947230458 -178443.81969410320743918),23,927,33.5,wsp,2917465.55,307396.1032,2917811.579,-178443.8197
Point (2910187.15737706376239657 -186039.30580521418596618),24,930,41.5,wsp,2909836.729,299810.8944,2910187.157,-186039.3058
Point (2917811.5786733590066433 -186039.30580521421507001),25,942,80,wsp,2917458.191,299803.5375,2917811.579,-186039.3058
