Hole ID,TOP,BOTTOM,LITH,Description,Lith_2,Grouped,Aquifer_Units,aquifer,start_x,start_y,start_z,end_z
105,0,1,TOPSOIL,no description,Soil,Clay,,Soil,2906014.788,-160636.6342,935.0410385,934.0410385
105,1,24,CLAY,"yellow brown, slightly silty, iron stained, oxidized, (lake clays)",Clay,Clay,,Clay,2906014.788,-160636.6342,934.0410385,911.0410385
105,24,44,CLAY,"olive gray, slighlty silty, plastic, sticky, cohesive, (lake clays)",Clay,Clay,,Clay,2906014.788,-160636.6342,911.0410385,891.0410385
105,44,53,CLAY,"olive gray, silty sandy with pebbles, rocky, poorly sorted, occasional lens of sand and gravel (till)",Clay,Clay,,Clay,2906014.788,-160636.6342,891.0410385,882.0410385
105,53,55,GRAVEL,"with medium to coarse sand, predominantly shale and igneous, well rounded to angular, poorly sorted",Gravel,Aquifer,,Gravel,2906014.788,-160636.6342,882.0410385,880.0410385
105,55,102,TILL,"as above, rocky",Till,Clay,,Till,2906014.788,-160636.6342,880.0410385,833.0410385
105,102,105,CLAY,"olive gray, silty, drills smooth",Clay,Clay,,Clay,2906014.788,-160636.6342,833.0410385,830.0410385
105,105,113,TILL,as above,Till,Clay,,Till,2906014.788,-160636.6342,830.0410385,822.0410385
105,113,121,CLAY,"olive gray, silty, drills smooth",Clay,Clay,,Clay,2906014.788,-160636.6342,822.0410385,814.0410385
105,121,123,SAND,"medium to very coarse, with gravel, well rounded to subrounded, poorly sorted till, as above",Sand,Aquifer,,Sand,2906014.788,-160636.6342,814.0410385,812.0410385
105,123,154,TILL,as above,Till,Clay,,Till,2906014.788,-160636.6342,812.0410385,781.0410385
105,154,198,CLAY,"black, greasy, carbonaceous, drills smooth and slow, occasional choppy drilling, shale or sandstone lenses?  flakes of bentonite in clays, occasional shale and sandstone chunk",Clay,Clay,,Clay,2906014.788,-160636.6342,781.0410385,737.0410385
105,198,200,SAND,"fine to coarse, washing badly, rain of returns, well rounded, good sorting",Sand,Aquifer,,Sand,2906014.788,-160636.6342,737.0410385,735.0410385
105,200,221,CLAY,"black, very poor returns, mostly washing sand from above, layer of fine sand",Clay,Clay,,Clay,2906014.788,-160636.6342,735.0410385,714.0410385
105,221,240,CLAY,"black, very poor returns, drills slow and smooth",Clay,Clay,,Clay,2906014.788,-160636.6342,714.0410385,695.0410385
408,0,2,TOPSOIL,"pebbly loam, black",Soil,Clay,,Soil,2951115.184,-229378.5588,968.1571833,966.1571833
408,2,6,CLAY,"silty with sand grains and pebbles, yellowish gray, moderately soft, cohesive, moderately plastic, oxidized (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,966.1571833,962.1571833
408,6,16,CLAY,"silty and sandy with pebbles and thin lenses of sand and fine gravel, yellowish gray to moderately olive brown, iron-stained, soft, moderately cohesive, slightly plastic, oxidized (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,962.1571833,952.1571833
408,16,38,CLAY,"silty and sandy with pebbles, olive gray, soft, cohesive, moderately plastic (till)",Clay,Clay,,Clay,2951115.184,-229378.5588,952.1571833,930.1571833
