date,gross_precipitation,rainfall,net_infiltration,runoff,actual_et,interception,soil_storage,snowfall,snow_storage,snowmelt
1/1/2000,0,0,0,0,0.012326114,0,2.481044351,0,0,0
1/2/2000,0,0,0,0,0.005869402,0,2.47523667,0,0,0
1/3/2000,0.000650775,0,0,0,0.005612395,0,2.469683716,0.000650775,0.000650775,0
1/4/2000,0.004988983,0,0,0,0.002012136,0,2.467692918,0.004988983,0.005639758,0
1/5/2000,0.026908411,0,0,0,0.002239418,0,2.465477504,0.026908411,0.032548168,0
1/6/2000,0.040475047,0,0,0,0.008547231,0,2.457021046,0.040475047,0.073023215,0
1/7/2000,0.003099538,0,0,0,0.002840538,0,2.45421061,0.003099538,0.076122753,0
1/8/2000,0,0,0,0,0.008692889,0,2.445610179,0,0.076122753,0
1/9/2000,0,0,0,0,0.012972945,0,2.43277614,0,0.076122753,0
1/10/2000,0.003077093,0,0,0,0.011015294,0,2.421879812,0.003077093,0.079199846,0
1/11/2000,0.112286953,0,0,0,0.007690458,0,2.414272685,0.112286953,0.191486799,0
1/12/2000,0.014239839,0,0,0,0,0,2.414272685,0.014239839,0.205726639,0
1/13/2000,0.181337705,0,0,0,0.000678979,0,2.413601159,0.181337705,0.387064345,0
1/14/2000,0,0,0,0,0.000618202,0,2.412989784,0,0.387064345,0
1/15/2000,0,0,0,0,0.005877,0,2.407176878,0,0.387064345,0
1/16/2000,0,0,0,0,0.001345267,0,2.40584607,0,0.387064345,0
1/17/2000,0,0,0,0,0.001869161,0,2.403997559,0,0.387064345,0
1/18/2000,0,0,0,0,0.008034341,0,2.396050931,0,0.387064345,0
1/19/2000,0.017769841,0,0,0,0.003688449,0,2.392402655,0.017769841,0.404834187,0
1/20/2000,0.021141138,0,0,0,7.29E-05,0,2.392330518,0.021141138,0.425975324,0
1/21/2000,0,0,0,0,0,0,2.392330518,0,0.425975324,0
1/22/2000,0,0,0,0,0.000177621,0,2.392154982,0,0.425975324,0
1/23/2000,0,0,0,0,0.004122935,0,2.388077124,0,0.425975324,0
1/24/2000,0,0,0,0,0.001684732,0,2.38641072,0,0.425975324,0
1/25/2000,0,0,0,0,0.006414234,0,2.380067011,0,0.425975324,0
1/26/2000,0,0,0,0,0.001978975,0,2.378109233,0,0.425975324,0
1/27/2000,0,0,0,0,0.002337059,0,2.37579831,0,0.425975324,0
1/28/2000,0,0,0,0,0.005812082,0,2.370050943,0,0.425975324,0
1/29/2000,0,0,0,0,0.00711895,0,2.363011184,0,0.425975324,0
1/30/2000,0,0,0,0,0.006179784,0,2.35690021,0,0.425975324,0
1/31/2000,0,0,0,0,0.007624564,0,2.349360439,0,0.425975324,0
2/1/2000,0,0,0,0,0.009020477,0,2.340441097,0,0.425975324,0
2/2/2000,0,0,0,0,0.006687236,0,2.333828102,0,0.425975324,0
2/3/2000,0.020972313,0,0,0.094742773,0.03446635,0,2.637418101,0.020972313,0.02766463,0.419283008
2/4/2000,0.037091804,0,0,0,0.009544826,0,2.627967198,0.037091804,0.064756434,0
2/5/2000,0,0,0,0,0.010140519,0,2.617927492,0,0.064756434,0
2/6/2000,0,0,0,0,0.011933107,0,2.60611358,0,0.064756434,0
2/7/2000,0,0,0,0,0.019391073,0,2.586917062,0,0.064756434,0
2/8/2000,0.014911548,0,0,0,0.010143873,0,2.576875493,0.014911548,0.079667982,0
2/9/2000,0.023493693,0,0,0.001494932,0.033651211,0,2.600382985,0.023493693,0.044878641,0.058283035
2/10/2000,0.086821572,0,0,0,0.009419646,0,2.591057916,0.086821572,0.131700212,0
2/11/2000,2.46E-06,0,0,0,0.002342104,0,2.588739364,2.46E-06,0.131702668,0
2/12/2000,0.167636195,0,0,0,0.001172499,0,2.587578508,0.167636195,0.299338865,0
2/13/2000,0,0,0,0,0.003783573,0,2.583832181,0,0.299338865,0
2/14/2000,0.001194962,0,0,0,0.000438254,0,2.583398586,0.001194962,0.300533827,0
2/15/2000,0.160862576,0,0,0,0.008353719,0,2.575129092,0.160862576,0.4613964,0
2/16/2000,0.239112469,0,0,0,0.006051906,0,2.569138606,0.239112469,0.700508869,0
2/17/2000,0.000815118,0,0,0,0.005061793,0,2.564128469,0.000815118,0.701323985,0
2/18/2000,0,0,0,0,0.008570395,0,2.555645891,0,0.701323985,0
2/19/2000,0,0,0,0,0.007565621,0,2.548157717,0,0.701323985,0
2/20/2000,0,0,0,0,0.009977839,0,2.538281797,0,0.701323985,0
2/21/2000,0,0,0,0,0.018022457,0,2.520445314,0,0.701323985,0
2/22/2000,0,0,0,0,0.020244813,0,2.500412617,0,0.701323985,0
2/23/2000,1.21E-06,0,0,0.035938918,0.033898612,0,2.596683891,1.21E-06,0.540527529,0.160797671
2/24/2000,0.129723214,0,0,0.051576271,0.038823521,0,2.828419797,0.129723214,0.35554727,0.314703471
2/25/2000,0.11740914,0.11740914,0,0.081242364,0.032762848,0,3.062010482,0,0.136845046,0.218702223
2/26/2000,0.386928471,0.386928471,0.000678729,0.151960216,0.040094475,0,3.414222764,0,0,0.136845046
2/27/2000,0.007620798,0.007620798,2.28E-05,2.94E-05,0.028762454,0,3.393331668,0,0,0
2/28/2000,0,0,0,0,0.037605109,0,3.356013689,0,0,0
2/29/2000,0,0,0,0,0.047801424,0,3.308585393,0,0,0
3/1/2000,0,0,0,0,0.028471738,0,3.280336754,0,0,0
3/2/2000,0,0,0,0,0.031347296,0,3.249234329,0,0,0
3/3/2000,0,0,0,0,0.035592516,0,3.213924277,0,0,0
3/4/2000,0,0,0,0,0.062578679,0,3.151855493,0,0,0
3/5/2000,0,0,0,0,0.056601772,0,3.095722266,0,0,0
3/6/2000,0,0,0,0,0.068341734,0,3.027963594,0,0,0
