Name,X,Y,Target,Layer,weight,Sublayer,row,column,GlobalNode,ActiveNode,Group,Layer2,Minimum,Maximum,Component,Type,Layer_Elevation
1,2954016.728,-227127.2636,959.2,4,1,1,125,48,1,1,1,0,0,0,1,Head,734.0879
2,2953973.322,-226505.1596,956,4,1,1,124,48,1,1,1,0,0,0,1,Head,743.436
3,2951984.031,-225412.8621,958.3,4,1,1,121,47,1,1,1,0,0,0,1,Head,752.56265
4,2950501.104,-226780.0507,958.7,4,1,1,121,44,1,1,1,0,0,0,1,Head,776.9126
5,2951434.266,-224906.4977,958,4,1,1,120,47,1,1,1,0,0,0,1,Head,753.906
6,2951210.015,-224602.6713,957.8,4,1,1,119,47,1,1,1,0,0,0,1,Head,758.13165
7,2948425.005,-224118.0134,956.8,4,1,1,116,44,1,1,1,0,0,0,1,Head,780.03125
8,2949867.851,-223465.0829,957.4,4,1,1,116,47,1,1,1,0,0,0,1,Head,763.2038
9,2951198.87,-223363.8056,957.4,4,1,1,118,48,1,1,1,0,0,0,1,Head,760.3735
10,2948381.605,-221846.6005,956.8,4,1,1,113,47,1,1,1,0,0,0,1,Head,767.1047
11,2945994.446,-221427.0376,956.5,4,1,1,110,44,1,1,1,0,0,0,1,Head,765.5384
14,2945242.134,-217940.3426,954.7,4,1,1,105,47,1,1,1,0,0,0,1,Head,782.2176
15,2936995.604,-211560.1349,954,4,1,1,90,43,1,1,1,0,0,0,1,Head,771.89605
16,2926376.389,-206409.6765,954,4,1,1,74,36,1,1,1,0,0,0,1,Head,735.43965
17,2923236.926,-201418.3575,946,4,1,1,65,37,1,1,1,0,0,0,1,Head,762.573
18,2921052.32,-196007.48,945,4,1,1,56,40,1,1,1,0,0,0,1,Head,777.0776
19,2918158.798,-191247.6392,941,4,1,1,48,41,1,1,1,0,0,0,1,Head,779.17785
20,2918245.609,-189135.3718,945,4,1,1,46,43,1,1,1,0,0,0,1,Head,790.0277
21,2914556.367,-180006.3175,935,4,1,1,32,48,1,1,1,0,0,0,1,Head,778.5872
23,2917811.58,-178443.8227,927,3,0,1,33,53,1,1,1,0,0,0,1,Head,841.3133
24,2910187.154,-186039.304,930,3,0,1,34,37,1,1,1,0,0,0,1,Head,840.34735
