Name,X,Y,Target,Layer,weight,Sublayer,row,column,GlobalNode,ActiveNode,Group,Layer2,Minimum,Maximum,Component,Type,Layer_Elevation
460,2950851.157,-222192.9932,911.756667,4,1,1,116,49,1,1,1,0,0,0,1,Head,775.56265
963,2910834.372,-159157.2949,918.873333,5,0,1,4,64,1,1,1,0,0,0,1,Head,736.5471
1463,2940131.322,-214216.9516,919.116667,4,1,1,96,44,1,1,1,0,0,0,1,Head,773.4244
1636,2918290.304,-191236.2815,925.62,4,1,1,48,41,1,1,1,0,0,0,1,Head,779.17785
19883,2925105.911,-180994.6989,921.026667,5,0,1,43,59,1,1,1,0,0,0,1,Head,688.7949
19886,2961543.788,-228371.068,954.126667,3,0,1,133,55,1,1,1,0,0,0,1,Head,872.4769
19887,2961520.924,-228409.1292,954.65,3,0,1,133,55,1,1,1,0,0,0,1,Head,872.4769
19893,2977117.126,-224975.5747,966.943333,5,0,1,145,77,1,1,1,0,0,0,1,Head,751.45315
19894,2977142.136,-224974.6397,963.463333,3,0,1,145,77,1,1,1,0,0,0,1,Head,907.09635
19899,2955104.846,-220224.0759,941.443333,3,0,1,118,56,1,1,1,0,0,0,1,Head,863.26535
19904,2936654.416,-202411.973,940.42,3,0,1,79,52,1,1,1,0,0,0,1,Head,861.50725
21858,2953585.739,-227716.8566,914.356667,4,1,1,125,47,1,1,1,0,0,0,1,Head,729.6705
24264,2907097.279,-174234.5625,929.506667,3,0,1,18,45,1,1,1,0,0,0,1,Head,823.17895
24280,2960528.049,-233757.3404,930.71,4,1,1,139,49,1,1,1,0,0,0,1,Head,763.15375
24287,2950855.151,-226283.8302,911.186667,4,1,1,121,45,1,1,1,0,0,0,1,Head,762.86235
24288,2906594.163,-180474.3534,930.2,3,0,1,24,38,1,1,1,0,0,0,1,Head,817.39795
24289,2964586.346,-238335.5176,963.833333,3,0,1,148,49,1,1,1,0,0,0,1,Head,871.96065
126755,2948037.895,-221264.64,912.392316,4,1,1,112,47,1,1,1,0,0,0,1,Head,770.70025
126758,2945404.383,-217799.7355,915.925563,4,1,1,105,47,1,1,1,0,0,0,1,Head,782.2176
127512,2942486.106,-245696.9447,929.12,6,0,1,135,16,1,1,1,0,0,0,1,Head,687.13215
130683,2939257.52,-239830.3723,929.077088,6,0,1,125,18,1,1,1,0,0,0,1,Head,651.4172
130928,2934274.703,-211035.7291,919.441558,4,1,1,87,41,1,1,1,0,0,0,1,Head,756.276
130936,2929325.708,-208905.7254,922.217081,4,1,1,79,37,1,1,1,0,0,0,1,Head,749.52095
131061,2932997.263,-211103.2083,921.279658,4,1,1,86,39,1,1,1,0,0,0,1,Head,758.86335
131210,2933641.797,-211069.3741,921.146087,4,1,1,86,40,1,1,1,0,0,0,1,Head,760.80315
132039,2929316.919,-208901.7694,922.200432,6,0,1,79,37,1,1,1,0,0,0,1,Head,547.0518
