stress_period,perlen,nstp,tsmult,cum_days,year,start_datetime,end_datetime,steady_state
1,1.0,1,1.2,0.0,1969,1969-12-31,1970-01-01,True
2,365.0,1,1.2,365.0,1970,1970-01-01,1970-12-31,False
3,365.0,1,1.2,730.0,1971,1971-01-01,1971-12-31,False
4,366.0,1,1.2,1096.0,1972,1972-01-01,1972-12-31,False
5,365.0,1,1.2,1461.0,1973,1973-01-01,1973-12-31,False
6,365.0,1,1.2,1826.0,1974,1974-01-01,1974-12-31,False
7,365.0,1,1.2,2191.0,1975,1975-01-01,1975-12-31,False
8,366.0,1,1.2,2557.0,1976,1976-01-01,1976-12-31,False
9,365.0,1,1.2,2922.0,1977,1977-01-01,1977-12-31,False
10,365.0,1,1.2,3287.0,1978,1978-01-01,1978-12-31,False
11,365.0,1,1.2,3652.0,1979,1979-01-01,1979-12-31,False
12,366.0,1,1.2,4018.0,1980,1980-01-01,1980-12-31,False
13,365.0,1,1.2,4383.0,1981,1981-01-01,1981-12-31,False
14,365.0,1,1.2,4748.0,1982,1982-01-01,1982-12-31,False
15,365.0,1,1.2,5113.0,1983,1983-01-01,1983-12-31,False
16,366.0,1,1.2,5479.0,1984,1984-01-01,1984-12-31,False
17,365.0,1,1.2,5844.0,1985,1985-01-01,1985-12-31,False
18,365.0,1,1.2,6209.0,1986,1986-01-01,1986-12-31,False
19,365.0,1,1.2,6574.0,1987,1987-01-01,1987-12-31,False
20,366.0,1,1.2,6940.0,1988,1988-01-01,1988-12-31,False
21,365.0,1,1.2,7305.0,1989,1989-01-01,1989-12-31,False
22,365.0,1,1.2,7670.0,1990,1990-01-01,1990-12-31,False
23,365.0,1,1.2,8035.0,1991,1991-01-01,1991-12-31,False
24,366.0,1,1.2,8401.0,1992,1992-01-01,1992-12-31,False
25,365.0,1,1.2,8766.0,1993,1993-01-01,1993-12-31,False
26,365.0,1,1.2,9131.0,1994,1994-01-01,1994-12-31,False
27,365.0,1,1.2,9496.0,1995,1995-01-01,1995-12-31,False
28,366.0,1,1.2,9862.0,1996,1996-01-01,1996-12-31,False
29,365.0,1,1.2,10227.0,1997,1997-01-01,1997-12-31,False
30,365.0,1,1.2,10592.0,1998,1998-01-01,1998-12-31,False
31,365.0,1,1.2,10957.0,1999,1999-01-01,1999-12-31,False
32,366.0,1,1.2,11323.0,2000,2000-01-01,2000-12-31,False
33,365.0,1,1.2,11688.0,2001,2001-01-01,2001-12-31,False
34,365.0,1,1.2,12053.0,2002,2002-01-01,2002-12-31,False
35,365.0,1,1.2,12418.0,2003,2003-01-01,2003-12-31,False
36,366.0,1,1.2,12784.0,2004,2004-01-01,2004-12-31,False
37,365.0,1,1.2,13149.0,2005,2005-01-01,2005-12-31,False
38,365.0,1,1.2,13514.0,2006,2006-01-01,2006-12-31,False
39,365.0,1,1.2,13879.0,2007,2007-01-01,2007-12-31,False
40,366.0,1,1.2,14245.0,2008,2008-01-01,2008-12-31,False
41,365.0,1,1.2,14610.0,2009,2009-01-01,2009-12-31,False
42,365.0,1,1.2,14975.0,2010,2010-01-01,2010-12-31,False
43,365.0,1,1.2,15340.0,2011,2011-01-01,2011-12-31,False
44,366.0,1,1.2,15706.0,2012,2012-01-01,2012-12-31,False
45,365.0,1,1.2,16071.0,2013,2013-01-01,2013-12-31,False
46,365.0,1,1.2,16436.0,2014,2014-01-01,2014-12-31,False
47,365.0,1,1.2,16801.0,2015,2015-01-01,2015-12-31,False
48,366.0,1,1.2,17167.0,2016,2016-01-01,2016-12-31,False
49,365.0,1,1.2,17532.0,2017,2017-01-01,2017-12-31,False
50,365.0,1,1.2,17897.0,2018,2018-01-01,2018-12-31,False
51,365.0,1,1.2,18262.0,2019,2019-01-01,2019-12-31,False
52,366.0,1,1.2,18628.0,2020,2020-01-01,2020-12-31,False
53,365.0,1,1.2,18993.0,2021,2021-01-01,2021-12-31,False
54,365.0,1,1.2,19358.0,2022,2022-01-01,2022-12-31,False
55,365.0,1,1.2,19723.0,2023,2023-01-01,2023-12-31,False
56,366.0,1,1.2,20089.0,2024,2024-01-01,2024-12-31,False
57,365.0,1,1.2,20454.0,2025,2025-01-01,2025-12-31,False
58,365.0,1,1.2,20819.0,2026,2026-01-01,2026-12-31,False
59,365.0,1,1.2,21184.0,2027,2027-01-01,2027-12-31,False
60,366.0,1,1.2,21550.0,2028,2028-01-01,2028-12-31,False
61,365.0,1,1.2,21915.0,2029,2029-01-01,2029-12-31,False
62,365.0,1,1.2,22280.0,2030,2030-01-01,2030-12-31,False
63,365.0,1,1.2,22645.0,2031,2031-01-01,2031-12-31,False
64,366.0,1,1.2,23011.0,2032,2032-01-01,2032-12-31,False
65,365.0,1,1.2,23376.0,2033,2033-01-01,2033-12-31,False
66,365.0,1,1.2,23741.0,2034,2034-01-01,2034-12-31,False
67,365.0,1,1.2,24106.0,2035,2035-01-01,2035-12-31,False
68,366.0,1,1.2,24472.0,2036,2036-01-01,2036-12-31,False
69,365.0,1,1.2,24837.0,2037,2037-01-01,2037-12-31,False
70,365.0,1,1.2,25202.0,2038,2038-01-01,2038-12-31,False
71,365.0,1,1.2,25567.0,2039,2039-01-01,2039-12-31,False
72,366.0,1,1.2,25933.0,2040,2040-01-01,2040-12-31,False
73,365.0,1,1.2,26298.0,2041,2041-01-01,2041-12-31,False
74,365.0,1,1.2,26663.0,2042,2042-01-01,2042-12-31,False
75,365.0,1,1.2,27028.0,2043,2043-01-01,2043-12-31,False
